Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.030000	0.174182	521	0.000000	0.514589	479	0.062630	0.030000	0.073630	
1000	0.039000	0.123499	475	0.000000	0.415876	525	0.074286	0.039000	0.070744	
1000	0.048000	0.064142	507	0.001972	0.373224	493	0.095335	0.048000	0.068995	
1000	0.058000	0.044542	479	0.002088	0.293062	521	0.109405	0.058000	0.068209	
1000	0.047000	0.027981	498	0.000000	0.278893	502	0.093625	0.047000	0.066796	
1000	0.068000	0.026619	490	0.000000	0.195005	510	0.133333	0.068000	0.066871	
1000	0.135000	0.020585	510	0.000000	0.135875	490	0.275510	0.135000	0.070878	
1000	0.120000	0.013939	501	0.003992	0.135875	499	0.236473	0.120000	0.073607	
1000	0.134000	0.011086	519	0.000000	0.135875	481	0.278586	0.134000	0.076785	
1000	0.140000	0.007129	482	0.000000	0.135875	518	0.270270	0.140000	0.079946	
1000	0.113000	0.004612	525	0.001905	0.135875	475	0.235789	0.113000	0.081520	
1000	0.123000	0.002853	516	0.005814	0.135875	484	0.247934	0.123000	0.083405	
1000	0.124000	0.001904	519	0.001927	0.135875	481	0.255717	0.124000	0.085170	
1000	0.132000	0.001415	502	0.013944	0.135875	498	0.251004	0.132000	0.087121	
1000	0.123000	0.001406	486	0.010288	0.135875	514	0.229572	0.123000	0.088556	
1000	0.134000	0.000953	493	0.006085	0.135875	507	0.258383	0.134000	0.090304	
1000	0.115000	0.000558	500	0.010000	0.135875	500	0.220000	0.115000	0.091219	
1000	0.103000	0.000545	507	0.009862	0.135875	493	0.198783	0.103000	0.091640	
1000	0.189000	0.000451	502	0.029880	0.096628	498	0.349398	0.189000	0.094997	
1000	0.189000	0.000326	502	0.031873	0.096628	498	0.347390	0.189000	0.098130	
1000	0.180000	0.000243	512	0.017578	0.096628	488	0.350410	0.180000	0.100771	
1000	0.182000	0.000231	474	0.025316	0.096628	526	0.323194	0.182000	0.103309	
1000	0.195000	0.000207	517	0.048356	0.096628	483	0.351967	0.195000	0.106088	
1000	0.197000	0.000189	471	0.025478	0.096628	529	0.349716	0.197000	0.108762	
1000	0.206000	0.000160	485	0.039175	0.096628	515	0.363107	0.206000	0.111540	
1000	0.161000	0.000125	530	0.043396	0.096628	470	0.293617	0.161000	0.112914	
1000	0.241000	0.000099	509	0.113949	0.096628	491	0.372709	0.241000	0.116375	
1000	0.234000	0.000059	485	0.123711	0.096628	515	0.337864	0.234000	0.119471	
1000	0.246000	0.000052	481	0.147609	0.096628	519	0.337187	0.246000	0.122715	
1000	0.305000	0.000033	496	0.223790	0.096628	504	0.384921	0.305000	0.127272	
1000	0.273000	0.000033	488	0.243852	0.096628	512	0.300781	0.273000	0.130826	
1000	0.303000	0.000033	502	0.231076	0.096628	498	0.375502	0.303000	0.134925	
1000	0.298000	0.000033	494	0.236842	0.096628	506	0.357708	0.298000	0.138718	
1000	0.262000	0.000033	518	0.212355	0.096628	482	0.315353	0.262000	0.141520	
1000	0.298000	0.000033	490	0.220408	0.096628	510	0.372549	0.298000	0.144997	
1000	0.286000	0.000033	499	0.214429	0.096628	501	0.357285	0.286000	0.148062	
1000	0.293000	0.000033	467	0.222698	0.096628	533	0.354597	0.293000	0.151146	
1000	0.280000	0.000033	507	0.209073	0.096628	493	0.352941	0.280000	0.153830	
1000	0.303000	0.000033	521	0.249520	0.096628	479	0.361169	0.303000	0.156874	
1000	0.275000	0.000033	533	0.219512	0.096628	467	0.338330	0.275000	0.159237	
1000	0.288000	0.000033	532	0.218045	0.096628	468	0.367521	0.288000	0.161762	
1000	0.274000	0.000033	487	0.201232	0.096628	513	0.343080	0.274000	0.163920	
1000	0.291000	0.000033	525	0.224762	0.096628	475	0.364211	0.291000	0.166318	
1000	0.289000	0.000033	491	0.238289	0.096628	509	0.337917	0.289000	0.168589	
1000	0.292000	0.000033	494	0.240891	0.096628	506	0.341897	0.292000	0.170833	
1000	0.265000	0.000033	495	0.179798	0.096628	505	0.348515	0.265000	0.172515	
1000	0.276000	0.000033	509	0.222004	0.096628	491	0.331976	0.276000	0.174330	
1000	0.293000	0.000033	514	0.227626	0.096628	486	0.362140	0.293000	0.176376	
1000	0.295000	0.000033	503	0.260437	0.096628	497	0.329980	0.295000	0.178387	
1000	0.276000	0.000033	512	0.234375	0.096628	488	0.319672	0.276000	0.180014	
1000	0.277000	0.000033	507	0.213018	0.096628	493	0.342799	0.277000	0.181604	
1000	0.300000	0.000033	509	0.212181	0.096628	491	0.391039	0.300000	0.183513	
1000	0.294000	0.000033	528	0.223485	0.096628	472	0.372881	0.294000	0.185267	
1000	0.278000	0.000033	509	0.237721	0.096628	491	0.319756	0.278000	0.186716	
1000	0.310000	0.000033	501	0.253493	0.096628	499	0.366733	0.310000	0.188612	
1000	0.279000	0.000033	474	0.210970	0.096628	526	0.340304	0.279000	0.189982	
1000	0.272000	0.000033	470	0.208511	0.096628	530	0.328302	0.272000	0.191206	
1000	0.273000	0.000033	494	0.224696	0.096628	506	0.320158	0.273000	0.192409	
1000	0.271000	0.000033	482	0.199170	0.096628	518	0.337838	0.271000	0.193548	
1000	0.291000	0.000031	485	0.245361	0.096628	515	0.333981	0.291000	0.194940	
1000	0.302000	0.000031	471	0.256900	0.096628	529	0.342155	0.302000	0.196448	
1000	0.275000	0.000031	508	0.226378	0.096628	492	0.325203	0.275000	0.197539	
1000	0.298000	0.000031	469	0.234542	0.096628	531	0.354049	0.298000	0.198915	
1000	0.280000	0.000031	482	0.253112	0.096628	518	0.305019	0.280000	0.200011	
1000	0.280000	0.000031	534	0.234082	0.096628	466	0.332618	0.280000	0.201077	
1000	0.316000	0.000031	488	0.288934	0.096628	512	0.341797	0.316000	0.202589	
1000	0.309000	0.000031	488	0.272541	0.096628	512	0.343750	0.309000	0.203971	
1000	0.293000	0.000031	497	0.267606	0.096628	503	0.318091	0.293000	0.205113	
1000	0.297000	0.000031	512	0.248047	0.096628	488	0.348361	0.297000	0.206276	
1000	0.285000	0.000031	485	0.202062	0.096628	515	0.363107	0.285000	0.207260	
1000	0.305000	0.000031	487	0.232033	0.096628	513	0.374269	0.305000	0.208467	
1000	0.282000	0.000031	493	0.217039	0.096628	507	0.345168	0.282000	0.209363	
1000	0.258000	0.000031	520	0.221154	0.096628	480	0.297917	0.258000	0.209949	
1000	0.291000	0.000031	490	0.263265	0.096628	510	0.317647	0.291000	0.210914	
1000	0.301000	0.000031	520	0.230769	0.096628	480	0.377083	0.301000	0.211974	
1000	0.309000	0.000031	501	0.261477	0.096628	499	0.356713	0.309000	0.213102	
1000	0.297000	0.000031	514	0.243191	0.096628	486	0.353909	0.297000	0.214067	
1000	0.309000	0.000031	501	0.251497	0.096628	499	0.366733	0.309000	0.215145	
1000	0.266000	0.000031	521	0.228407	0.096628	479	0.306889	0.266000	0.215717	
1000	0.291000	0.000031	531	0.263653	0.096628	469	0.321962	0.291000	0.216553	
1000	0.279000	0.000031	487	0.225873	0.096628	513	0.329435	0.279000	0.217239	
1000	0.324000	0.000031	468	0.271368	0.096628	532	0.370301	0.324000	0.218400	
1000	0.295000	0.000031	503	0.246521	0.096628	497	0.344064	0.295000	0.219223	
1000	0.284000	0.000031	505	0.233663	0.096628	495	0.335354	0.284000	0.219913	
1000	0.318000	0.000031	526	0.268061	0.096628	474	0.373418	0.318000	0.220945	
1000	0.276000	0.000031	490	0.230612	0.096628	510	0.319608	0.276000	0.221519	
1000	0.266000	0.000031	479	0.187891	0.096628	521	0.337812	0.266000	0.221977	
1000	0.345000	0.000018	510	0.380392	0.096628	490	0.308163	0.345000	0.223232	
1000	0.383000	0.000018	502	0.398406	0.096628	498	0.367470	0.383000	0.224846	
1000	0.386000	0.000018	496	0.417339	0.096628	504	0.355159	0.386000	0.226458	
1000	0.299000	0.000029	488	0.297131	0.096628	512	0.300781	0.299000	0.227176	
1000	0.320000	0.000029	515	0.262136	0.096628	485	0.381443	0.320000	0.228086	
1000	0.296000	0.000029	492	0.256098	0.096628	508	0.334646	0.296000	0.228745	
1000	0.300000	0.000029	479	0.271399	0.096628	521	0.326296	0.300000	0.229430	
1000	0.293000	0.000029	523	0.279159	0.096628	477	0.308176	0.293000	0.230036	
1000	0.290000	0.000029	508	0.240157	0.096628	492	0.341463	0.290000	0.230602	
1000	0.318000	0.000029	519	0.292871	0.096628	481	0.345114	0.318000	0.231418	
1000	0.290000	0.000029	529	0.249527	0.096628	471	0.335456	0.290000	0.231961	
1000	0.279000	0.000029	502	0.237052	0.096628	498	0.321285	0.279000	0.232392	
1000	0.283000	0.000029	510	0.249020	0.096628	490	0.318367	0.283000	0.232852	
1000	0.293000	0.000029	518	0.249035	0.096628	482	0.340249	0.293000	0.233394	
1000	0.289000	0.000029	504	0.242063	0.096628	496	0.336694	0.289000	0.233891	
1000	0.289000	0.000029	524	0.267176	0.096628	476	0.313025	0.289000	0.234378	
1000	0.291000	0.000029	499	0.248497	0.096628	501	0.333333	0.291000	0.234875	
1000	0.303000	0.000029	511	0.250489	0.096628	489	0.357873	0.303000	0.235468	
1000	0.296000	0.000029	533	0.257036	0.096628	467	0.340471	0.296000	0.235989	
1000	0.291000	0.000029	476	0.258403	0.096628	524	0.320611	0.291000	0.236460	
1000	0.319000	0.000029	529	0.264650	0.096628	471	0.380042	0.319000	0.237159	
1000	0.313000	0.000029	513	0.245614	0.096628	487	0.383984	0.313000	0.237796	
1000	0.315000	0.000029	491	0.287169	0.096628	509	0.341847	0.315000	0.238440	
1000	0.294000	0.000029	490	0.253061	0.096628	510	0.333333	0.294000	0.238899	
1000	0.270000	0.000029	503	0.228628	0.096628	497	0.311871	0.270000	0.239154	
1000	0.304000	0.000029	485	0.253608	0.096628	515	0.351456	0.304000	0.239681	
1000	0.316000	0.000029	455	0.287912	0.096628	545	0.339450	0.316000	0.240296	
1000	0.322000	0.000029	491	0.274949	0.096628	509	0.367387	0.322000	0.240950	
1000	0.326000	0.000029	481	0.282744	0.096628	519	0.366089	0.326000	0.241625	
1000	0.308000	0.000029	490	0.238776	0.096628	510	0.374510	0.308000	0.242148	
1000	0.313000	0.000029	515	0.279612	0.096628	485	0.348454	0.313000	0.242701	
1000	0.295000	0.000029	497	0.269618	0.096628	503	0.320080	0.295000	0.243107	
1000	0.297000	0.000029	504	0.261905	0.096628	496	0.332661	0.297000	0.243521	
1000	0.319000	0.000029	518	0.285714	0.096628	482	0.354772	0.319000	0.244097	
1000	0.298000	0.000029	518	0.256757	0.096628	482	0.342324	0.298000	0.244506	
1000	0.324000	0.000029	512	0.269531	0.096628	488	0.381148	0.324000	0.245103	
1000	0.300000	0.000029	537	0.260708	0.096628	463	0.345572	0.300000	0.245513	
1000	0.310000	0.000029	496	0.282258	0.096628	504	0.337302	0.310000	0.245991	
1000	0.314000	0.000029	493	0.279919	0.096628	507	0.347140	0.314000	0.246491	
1000	0.293000	0.000029	514	0.245136	0.096628	486	0.343621	0.293000	0.246830	
1000	0.296000	0.000029	506	0.268775	0.096628	494	0.323887	0.296000	0.247187	
1000	0.299000	0.000029	493	0.261663	0.096628	507	0.335306	0.299000	0.247559	
1000	0.285000	0.000029	506	0.254941	0.096628	494	0.315789	0.285000	0.247827	
1000	0.293000	0.000029	502	0.260956	0.096628	498	0.325301	0.293000	0.248147	
1000	0.296000	0.000029	498	0.271084	0.096628	502	0.320717	0.296000	0.248484	
1000	0.325000	0.000029	490	0.293878	0.096628	510	0.354902	0.325000	0.249019	
1000	0.313000	0.000029	515	0.297087	0.096628	485	0.329897	0.313000	0.249464	
1000	0.306000	0.000029	479	0.269311	0.096628	521	0.339731	0.306000	0.249853	
1000	0.308000	0.000029	495	0.264646	0.096628	505	0.350495	0.308000	0.250252	
1000	0.308000	0.000029	484	0.256198	0.096628	516	0.356589	0.308000	0.250645	
1000	0.314000	0.000029	504	0.269841	0.096628	496	0.358871	0.314000	0.251073	
1000	0.315000	0.000029	505	0.279208	0.096628	495	0.351515	0.315000	0.251502	
1000	0.314000	0.000029	504	0.251984	0.096628	496	0.377016	0.314000	0.251918	
