Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.362000	0.943799	1000	0.362000	0.362000	0.237433	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.244646	
1000	0.338000	0.943799	1000	0.338000	0.338000	0.251827	
1000	0.370000	0.943799	1000	0.370000	0.370000	0.260267	
1000	0.336000	0.943799	1000	0.336000	0.336000	0.265316	
1000	0.365000	0.943799	1000	0.365000	0.365000	0.271546	
1000	0.348000	0.943799	1000	0.348000	0.348000	0.276043	
1000	0.336000	0.943799	1000	0.336000	0.336000	0.279373	
1000	0.336000	0.943799	1000	0.336000	0.336000	0.282354	
1000	0.288000	0.943799	1000	0.288000	0.288000	0.282636	
1000	0.369000	0.943799	1000	0.369000	0.369000	0.286748	
1000	0.348000	0.943799	1000	0.348000	0.348000	0.289532	
1000	0.354000	0.943799	1000	0.354000	0.354000	0.292335	
1000	0.326000	0.943799	1000	0.326000	0.326000	0.293738	
1000	0.363000	0.943799	1000	0.363000	0.363000	0.296508	
1000	0.311000	0.943799	1000	0.311000	0.311000	0.297065	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.298063	
1000	0.341000	0.943799	1000	0.341000	0.341000	0.299596	
1000	0.330000	0.943799	1000	0.330000	0.330000	0.300645	
1000	0.355000	0.943799	1000	0.355000	0.355000	0.302457	
1000	0.352000	0.943799	1000	0.352000	0.352000	0.304055	
1000	0.327000	0.943799	1000	0.327000	0.327000	0.304772	
1000	0.377000	0.943799	1000	0.377000	0.377000	0.306960	
1000	0.309000	0.943799	1000	0.309000	0.309000	0.307020	
1000	0.334000	0.943799	1000	0.334000	0.334000	0.307791	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.308241	
1000	0.328000	0.943799	1000	0.328000	0.328000	0.308775	
1000	0.311000	0.943799	1000	0.311000	0.311000	0.308834	
1000	0.371000	0.943799	1000	0.371000	0.371000	0.310428	
1000	0.379000	0.943799	1000	0.379000	0.379000	0.312142	
1000	0.311000	0.943799	1000	0.311000	0.311000	0.312114	
1000	0.322000	0.943799	1000	0.322000	0.322000	0.312350	
1000	0.342000	0.943799	1000	0.342000	0.342000	0.313039	
1000	0.344000	0.943799	1000	0.344000	0.344000	0.313743	
1000	0.368000	0.943799	1000	0.368000	0.368000	0.314949	
1000	0.323000	0.943799	1000	0.323000	0.323000	0.315124	
1000	0.351000	0.943799	1000	0.351000	0.351000	0.315887	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.316056	
1000	0.319000	0.943799	1000	0.319000	0.319000	0.316116	
1000	0.352000	0.943799	1000	0.352000	0.352000	0.316834	
1000	0.335000	0.943799	1000	0.335000	0.335000	0.317190	
1000	0.333000	0.943799	1000	0.333000	0.333000	0.317494	
1000	0.353000	0.943799	1000	0.353000	0.353000	0.318164	
1000	0.341000	0.943799	1000	0.341000	0.341000	0.318587	
1000	0.334000	0.943799	1000	0.334000	0.334000	0.318867	
1000	0.356000	0.943799	1000	0.356000	0.356000	0.319530	
1000	0.326000	0.943799	1000	0.326000	0.326000	0.319644	
1000	0.365000	0.943799	1000	0.365000	0.365000	0.320426	
1000	0.337000	0.943799	1000	0.337000	0.337000	0.320706	
1000	0.316000	0.943799	1000	0.316000	0.316000	0.320628	
1000	0.318000	0.943799	1000	0.318000	0.318000	0.320585	
1000	0.326000	0.943799	1000	0.326000	0.326000	0.320672	
1000	0.326000	0.943799	1000	0.326000	0.326000	0.320757	
1000	0.347000	0.943799	1000	0.347000	0.347000	0.321167	
1000	0.350000	0.943799	1000	0.350000	0.350000	0.321610	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.321647	
1000	0.344000	0.943799	1000	0.344000	0.344000	0.321980	
1000	0.335000	0.943799	1000	0.335000	0.335000	0.322172	
1000	0.339000	0.943799	1000	0.339000	0.339000	0.322416	
1000	0.353000	0.943799	1000	0.353000	0.353000	0.322853	
1000	0.348000	0.943799	1000	0.348000	0.348000	0.323207	
1000	0.324000	0.943799	1000	0.324000	0.324000	0.323218	
1000	0.334000	0.943799	1000	0.334000	0.334000	0.323365	
1000	0.354000	0.943799	1000	0.354000	0.354000	0.323779	
1000	0.333000	0.943799	1000	0.333000	0.333000	0.323902	
1000	0.375000	0.943799	1000	0.375000	0.375000	0.324575	
1000	0.329000	0.943799	1000	0.329000	0.329000	0.324632	
1000	0.343000	0.943799	1000	0.343000	0.343000	0.324868	
1000	0.326000	0.943799	1000	0.326000	0.326000	0.324882	
