Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
440	0.002273	560	0.317857	5.493220	0	0.000000	0.028320	560	0.317857	0.179000	0.167659	
438	0.000000	562	0.272242	5.493220	0	0.000000	0.028320	562	0.272242	0.153000	0.167645	
435	0.000000	565	0.330973	5.493220	0	0.000000	0.028320	565	0.330973	0.187000	0.167664	
427	0.000000	573	0.305410	5.493220	0	0.000000	0.028320	573	0.305410	0.175000	0.167671	
452	0.002212	548	0.279197	5.493220	0	0.000000	0.028320	548	0.279197	0.154000	0.167658	
465	0.002151	535	0.280374	5.493220	0	0.000000	0.028320	535	0.280374	0.151000	0.167641	
461	0.000000	539	0.289425	5.493220	0	0.000000	0.028320	539	0.289425	0.156000	0.167629	
463	0.004320	537	0.275605	5.493220	0	0.000000	0.028320	537	0.275605	0.150000	0.167612	
460	0.000000	540	0.318519	5.493220	0	0.000000	0.028320	540	0.318519	0.172000	0.167616	
469	0.000000	531	0.335217	5.493220	0	0.000000	0.028320	531	0.335217	0.178000	0.167627	
444	0.000000	556	0.276978	5.493220	0	0.000000	0.028320	556	0.276978	0.154000	0.167613	
444	0.000000	556	0.266187	5.493220	0	0.000000	0.028320	556	0.266187	0.148000	0.167594	
477	0.002096	523	0.307839	5.493220	0	0.000000	0.028320	523	0.307839	0.162000	0.167588	
456	0.000000	544	0.292279	5.493220	0	0.000000	0.028320	544	0.292279	0.159000	0.167580	
418	0.000000	582	0.352234	5.493220	0	0.000000	0.028320	582	0.352234	0.205000	0.167617	
471	0.002123	529	0.340265	5.493220	0	0.000000	0.028320	529	0.340265	0.181000	0.167630	
437	0.002288	563	0.284192	5.493220	0	0.000000	0.028320	563	0.284192	0.161000	0.167623	
450	0.000000	550	0.360000	5.493220	0	0.000000	0.028320	550	0.360000	0.198000	0.167653	
479	0.004175	521	0.339731	5.493220	0	0.000000	0.028320	521	0.339731	0.179000	0.167664	
442	0.002262	558	0.293907	5.493220	0	0.000000	0.028320	558	0.293907	0.165000	0.167662	
455	0.000000	545	0.339450	5.493220	0	0.000000	0.028320	545	0.339450	0.185000	0.167679	
467	0.000000	533	0.283302	5.493220	0	0.000000	0.028320	533	0.283302	0.151000	0.167662	
470	0.002128	530	0.332075	5.493220	0	0.000000	0.028320	530	0.332075	0.177000	0.167671	
452	0.004425	548	0.257299	5.493220	0	0.000000	0.028320	548	0.257299	0.143000	0.167647	
431	0.000000	569	0.302285	5.493220	0	0.000000	0.028320	569	0.302285	0.172000	0.167652	
436	0.000000	564	0.326241	5.493220	0	0.000000	0.028320	564	0.326241	0.184000	0.167667	
438	0.002283	562	0.316726	5.493220	0	0.000000	0.028320	562	0.316726	0.179000	0.167679	
443	0.000000	557	0.330341	5.493220	0	0.000000	0.028320	557	0.330341	0.184000	0.167694	
439	0.000000	561	0.310160	5.493220	0	0.000000	0.028320	561	0.310160	0.174000	0.167701	
454	0.000000	546	0.294872	5.493220	0	0.000000	0.028320	546	0.294872	0.161000	0.167694	
458	0.000000	542	0.297048	5.493220	0	0.000000	0.028320	542	0.297048	0.161000	0.167688	
427	0.002342	573	0.282723	5.493220	0	0.000000	0.028320	573	0.282723	0.163000	0.167683	
446	0.002242	554	0.328520	5.493220	0	0.000000	0.028320	554	0.328520	0.183000	0.167698	
457	0.000000	543	0.324125	5.493220	0	0.000000	0.028320	543	0.324125	0.176000	0.167706	
449	0.000000	551	0.272232	5.493220	0	0.000000	0.028320	551	0.272232	0.150000	0.167689	
428	0.000000	572	0.311189	5.493220	0	0.000000	0.028320	572	0.311189	0.178000	0.167699	
424	0.000000	576	0.324653	5.493220	0	0.000000	0.028320	576	0.324653	0.187000	0.167717	
456	0.002193	544	0.365809	5.493220	0	0.000000	0.028320	544	0.365809	0.200000	0.167748	
435	0.002299	565	0.283186	5.493220	0	0.000000	0.028320	565	0.283186	0.161000	0.167742	
441	0.000000	559	0.314848	5.493220	0	0.000000	0.028320	559	0.314848	0.176000	0.167750	
403	0.000000	597	0.323283	5.493220	0	0.000000	0.028320	597	0.323283	0.193000	0.167774	
432	0.000000	568	0.297535	5.493220	0	0.000000	0.028320	568	0.297535	0.169000	0.167775	
423	0.004728	577	0.355286	5.493220	0	0.000000	0.028320	577	0.355286	0.207000	0.167813	
458	0.000000	542	0.315498	5.493220	0	0.000000	0.028320	542	0.315498	0.171000	0.167816	
472	0.000000	528	0.329545	5.493220	0	0.000000	0.028320	528	0.329545	0.174000	0.167822	
467	0.000000	533	0.298311	5.493220	0	0.000000	0.028320	533	0.298311	0.159000	0.167813	
428	0.002336	572	0.319930	5.493220	0	0.000000	0.028320	572	0.319930	0.184000	0.167829	
444	0.000000	556	0.329137	5.493220	0	0.000000	0.028320	556	0.329137	0.183000	0.167843	
447	0.000000	553	0.264014	5.493220	0	0.000000	0.028320	553	0.264014	0.146000	0.167823	
460	0.000000	540	0.368519	5.493220	0	0.000000	0.028320	540	0.368519	0.199000	0.167852	
440	0.000000	560	0.301786	5.493220	0	0.000000	0.028320	560	0.301786	0.169000	0.167853	
444	0.000000	556	0.291367	5.493220	0	0.000000	0.028320	556	0.291367	0.162000	0.167848	
429	0.000000	571	0.285464	5.493220	0	0.000000	0.028320	571	0.285464	0.163000	0.167843	
459	0.000000	541	0.262477	5.493220	0	0.000000	0.028320	541	0.262477	0.142000	0.167819	
454	0.004405	546	0.260073	5.493220	0	0.000000	0.028320	546	0.260073	0.144000	0.167796	
478	0.002092	522	0.273946	5.493220	0	0.000000	0.028320	522	0.273946	0.144000	0.167774	
455	0.000000	545	0.299083	5.493220	0	0.000000	0.028320	545	0.299083	0.163000	0.167769	
443	0.000000	557	0.328546	5.493220	0	0.000000	0.028320	557	0.328546	0.183000	0.167783	
431	0.000000	569	0.325132	5.493220	0	0.000000	0.028320	569	0.325132	0.185000	0.167800	
445	0.004494	555	0.286486	5.493220	0	0.000000	0.028320	555	0.286486	0.161000	0.167793	
432	0.002315	568	0.313380	5.493220	0	0.000000	0.028320	568	0.313380	0.179000	0.167804	
456	0.002193	544	0.329044	5.493220	0	0.000000	0.028320	544	0.329044	0.180000	0.167815	
439	0.002278	561	0.290553	5.493220	0	0.000000	0.028320	561	0.290553	0.164000	0.167812	
439	0.000000	561	0.315508	5.493220	0	0.000000	0.028320	561	0.315508	0.177000	0.167820	
444	0.000000	556	0.291367	5.493220	0	0.000000	0.028320	556	0.291367	0.162000	0.167815	
427	0.000000	573	0.352531	5.493220	0	0.000000	0.028320	573	0.352531	0.202000	0.167847	
451	0.002217	549	0.264117	5.493220	0	0.000000	0.028320	549	0.264117	0.146000	0.167826	
429	0.000000	571	0.297723	5.493220	0	0.000000	0.028320	571	0.297723	0.170000	0.167828	
442	0.000000	558	0.304659	5.493220	0	0.000000	0.028320	558	0.304659	0.170000	0.167831	
452	0.000000	548	0.291971	5.493220	0	0.000000	0.028320	548	0.291971	0.160000	0.167823	
412	0.000000	588	0.280612	5.493220	0	0.000000	0.028320	588	0.280612	0.165000	0.167821	
444	0.000000	556	0.341727	5.493220	0	0.000000	0.028320	556	0.341727	0.190000	0.167841	
409	0.002445	591	0.292724	5.493220	0	0.000000	0.028320	591	0.292724	0.174000	0.167847	
459	0.000000	541	0.290203	5.493220	0	0.000000	0.028320	541	0.290203	0.157000	0.167837	
453	0.000000	547	0.316271	5.493220	0	0.000000	0.028320	547	0.316271	0.173000	0.167842	
432	0.000000	568	0.279930	5.493220	0	0.000000	0.028320	568	0.279930	0.159000	0.167833	
439	0.000000	561	0.304813	5.493220	0	0.000000	0.028320	561	0.304813	0.171000	0.167836	
452	0.002212	548	0.308394	5.493220	0	0.000000	0.028320	548	0.308394	0.170000	0.167838	
444	0.002252	556	0.302158	5.493220	0	0.000000	0.028320	556	0.302158	0.169000	0.167840	
456	0.000000	544	0.301471	5.493220	0	0.000000	0.028320	544	0.301471	0.164000	0.167836	
426	0.002347	574	0.311847	5.493220	0	0.000000	0.028320	574	0.311847	0.180000	0.167847	
425	0.002353	575	0.318261	5.493220	0	0.000000	0.028320	575	0.318261	0.184000	0.167862	
436	0.000000	564	0.312057	5.493220	0	0.000000	0.028320	564	0.312057	0.176000	0.167870	
465	0.000000	535	0.312150	5.493220	0	0.000000	0.028320	535	0.312150	0.167000	0.167869	
429	0.000000	571	0.338004	5.493220	0	0.000000	0.028320	571	0.338004	0.193000	0.167892	
454	0.000000	546	0.315018	5.493220	0	0.000000	0.028320	546	0.315018	0.172000	0.167896	
471	0.004246	529	0.315690	5.493220	0	0.000000	0.028320	529	0.315690	0.169000	0.167897	
