Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.293000	7.112492	1000	0.293000	0.293000	0.284588	
1000	0.297000	7.112492	1000	0.297000	0.297000	0.284601	
1000	0.275000	7.112492	1000	0.275000	0.275000	0.284591	
1000	0.305000	7.112492	1000	0.305000	0.305000	0.284611	
1000	0.282000	7.112492	1000	0.282000	0.282000	0.284609	
1000	0.292000	7.112492	1000	0.292000	0.292000	0.284616	
1000	0.279000	7.112492	1000	0.279000	0.279000	0.284610	
1000	0.287000	7.112492	1000	0.287000	0.287000	0.284613	
1000	0.287000	7.112492	1000	0.287000	0.287000	0.284615	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284604	
1000	0.304000	7.112492	1000	0.304000	0.304000	0.284623	
1000	0.279000	7.112492	1000	0.279000	0.279000	0.284617	
1000	0.266000	7.112492	1000	0.266000	0.266000	0.284599	
1000	0.268000	7.112492	1000	0.268000	0.268000	0.284583	
1000	0.254000	7.112492	1000	0.254000	0.254000	0.284552	
1000	0.280000	7.112492	1000	0.280000	0.280000	0.284548	
1000	0.267000	7.112492	1000	0.267000	0.267000	0.284531	
1000	0.287000	7.112492	1000	0.287000	0.287000	0.284533	
1000	0.302000	7.112492	1000	0.302000	0.302000	0.284550	
1000	0.291000	7.112492	1000	0.291000	0.291000	0.284557	
1000	0.281000	7.112492	1000	0.281000	0.281000	0.284553	
1000	0.289000	7.112492	1000	0.289000	0.289000	0.284557	
1000	0.307000	7.112492	1000	0.307000	0.307000	0.284579	
1000	0.294000	7.112492	1000	0.294000	0.294000	0.284589	
1000	0.253000	7.112492	1000	0.253000	0.253000	0.284558	
1000	0.278000	7.112492	1000	0.278000	0.278000	0.284551	
1000	0.274000	7.112492	1000	0.274000	0.274000	0.284541	
1000	0.290000	7.112492	1000	0.290000	0.290000	0.284546	
1000	0.268000	7.112492	1000	0.268000	0.268000	0.284530	
1000	0.295000	7.112492	1000	0.295000	0.295000	0.284541	
1000	0.265000	7.112492	1000	0.265000	0.265000	0.284522	
1000	0.268000	7.112492	1000	0.268000	0.268000	0.284506	
1000	0.290000	7.112492	1000	0.290000	0.290000	0.284511	
1000	0.281000	7.112492	1000	0.281000	0.281000	0.284507	
1000	0.295000	7.112492	1000	0.295000	0.295000	0.284518	
1000	0.267000	7.112492	1000	0.267000	0.267000	0.284501	
1000	0.282000	7.112492	1000	0.282000	0.282000	0.284498	
1000	0.274000	7.112492	1000	0.274000	0.274000	0.284488	
1000	0.280000	7.112492	1000	0.280000	0.280000	0.284484	
1000	0.272000	7.112492	1000	0.272000	0.272000	0.284472	
1000	0.278000	7.112492	1000	0.278000	0.278000	0.284466	
1000	0.272000	7.112492	1000	0.272000	0.272000	0.284454	
1000	0.310000	7.112492	1000	0.310000	0.310000	0.284478	
1000	0.263000	7.112492	1000	0.263000	0.263000	0.284458	
1000	0.291000	7.112492	1000	0.291000	0.291000	0.284464	
1000	0.312000	7.112492	1000	0.312000	0.312000	0.284490	
1000	0.265000	7.112492	1000	0.265000	0.265000	0.284472	
1000	0.259000	7.112492	1000	0.259000	0.259000	0.284447	
1000	0.297000	7.112492	1000	0.297000	0.297000	0.284459	
1000	0.274000	7.112492	1000	0.274000	0.274000	0.284449	
1000	0.282000	7.112492	1000	0.282000	0.282000	0.284447	
1000	0.287000	7.112492	1000	0.287000	0.287000	0.284449	
1000	0.305000	7.112492	1000	0.305000	0.305000	0.284469	
1000	0.282000	7.112492	1000	0.282000	0.282000	0.284467	
1000	0.314000	7.112492	1000	0.314000	0.314000	0.284495	
1000	0.295000	7.112492	1000	0.295000	0.295000	0.284504	
1000	0.294000	7.112492	1000	0.294000	0.294000	0.284513	
1000	0.268000	7.112492	1000	0.268000	0.268000	0.284498	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284487	
1000	0.293000	7.112492	1000	0.293000	0.293000	0.284495	
1000	0.257000	7.112492	1000	0.257000	0.257000	0.284469	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284458	
1000	0.268000	7.112492	1000	0.268000	0.268000	0.284443	
1000	0.286000	7.112492	1000	0.286000	0.286000	0.284444	
1000	0.304000	7.112492	1000	0.304000	0.304000	0.284463	
1000	0.291000	7.112492	1000	0.291000	0.291000	0.284469	
1000	0.283000	7.112492	1000	0.283000	0.283000	0.284467	
1000	0.265000	7.112492	1000	0.265000	0.265000	0.284449	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284438	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284428	
1000	0.273000	7.112492	1000	0.273000	0.273000	0.284417	
1000	0.269000	7.112492	1000	0.269000	0.269000	0.284403	
1000	0.285000	7.112492	1000	0.285000	0.285000	0.284403	
1000	0.292000	7.112492	1000	0.292000	0.292000	0.284410	
1000	0.276000	7.112492	1000	0.276000	0.276000	0.284403	
1000	0.308000	7.112492	1000	0.308000	0.308000	0.284424	
1000	0.286000	7.112492	1000	0.286000	0.286000	0.284426	
1000	0.284000	7.112492	1000	0.284000	0.284000	0.284426	
1000	0.294000	7.112492	1000	0.294000	0.294000	0.284434	
1000	0.311000	7.112492	1000	0.311000	0.311000	0.284459	
1000	0.269000	7.112492	1000	0.269000	0.269000	0.284445	
1000	0.298000	7.112492	1000	0.298000	0.298000	0.284457	
1000	0.278000	7.112492	1000	0.278000	0.278000	0.284451	
1000	0.290000	7.112492	1000	0.290000	0.290000	0.284456	
1000	0.280000	7.112492	1000	0.280000	0.280000	0.284452	
1000	0.266000	7.112492	1000	0.266000	0.266000	0.284435	
1000	0.286000	7.112492	1000	0.286000	0.286000	0.284437	
1000	0.302000	7.112492	1000	0.302000	0.302000	0.284453	
1000	0.295000	7.112492	1000	0.295000	0.295000	0.284463	
