Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.284000	0.237548	1000	0.284000	0.284000	0.306668	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306668	
1000	0.305000	0.237548	1000	0.305000	0.305000	0.306667	
1000	0.328000	0.237548	1000	0.328000	0.328000	0.306686	
1000	0.284000	0.237548	1000	0.284000	0.284000	0.306665	
1000	0.307000	0.237548	1000	0.307000	0.307000	0.306666	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306665	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306662	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306659	
1000	0.327000	0.237548	1000	0.327000	0.327000	0.306677	
1000	0.298000	0.237548	1000	0.298000	0.298000	0.306669	
1000	0.347000	0.237548	1000	0.347000	0.347000	0.306705	
1000	0.329000	0.237548	1000	0.329000	0.329000	0.306726	
1000	0.320000	0.237548	1000	0.320000	0.320000	0.306738	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306751	
1000	0.323000	0.237548	1000	0.323000	0.323000	0.306766	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306763	
1000	0.296000	0.237548	1000	0.296000	0.296000	0.306754	
1000	0.290000	0.237548	1000	0.290000	0.290000	0.306739	
1000	0.297000	0.237548	1000	0.297000	0.297000	0.306730	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306744	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306743	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306744	
1000	0.313000	0.237548	1000	0.313000	0.313000	0.306750	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306759	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306758	
1000	0.302000	0.237548	1000	0.302000	0.302000	0.306754	
1000	0.330000	0.237548	1000	0.330000	0.330000	0.306775	
1000	0.331000	0.237548	1000	0.331000	0.331000	0.306796	
1000	0.303000	0.237548	1000	0.303000	0.303000	0.306793	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306792	
1000	0.297000	0.237548	1000	0.297000	0.297000	0.306783	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.306769	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306783	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306792	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306789	
1000	0.316000	0.237548	1000	0.316000	0.316000	0.306798	
1000	0.294000	0.237548	1000	0.294000	0.294000	0.306786	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306786	
1000	0.284000	0.237548	1000	0.284000	0.284000	0.306766	
1000	0.317000	0.237548	1000	0.317000	0.317000	0.306775	
1000	0.322000	0.237548	1000	0.322000	0.322000	0.306788	
1000	0.320000	0.237548	1000	0.320000	0.320000	0.306800	
1000	0.299000	0.237548	1000	0.299000	0.299000	0.306793	
1000	0.292000	0.237548	1000	0.292000	0.292000	0.306780	
1000	0.306000	0.237548	1000	0.306000	0.306000	0.306779	
1000	0.304000	0.237548	1000	0.304000	0.304000	0.306777	
1000	0.291000	0.237548	1000	0.291000	0.291000	0.306763	
1000	0.308000	0.237548	1000	0.308000	0.308000	0.306764	
1000	0.324000	0.237548	1000	0.324000	0.324000	0.306779	
