Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Data - Dev	Data - Tried	Data - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
446	0.002242	554	0.261733	6.324110	0	0.000000	1.271975	554	0.261733	0.146000	0.159059	
434	0.004608	566	0.284452	6.324110	0	0.000000	1.271975	566	0.284452	0.163000	0.159063	
448	0.002232	552	0.266304	6.324110	0	0.000000	1.271975	552	0.266304	0.148000	0.159052	
471	0.006369	529	0.238185	6.324110	0	0.000000	1.271975	529	0.238185	0.129000	0.159024	
440	0.000000	560	0.289286	6.324110	0	0.000000	1.271975	560	0.289286	0.162000	0.159027	
437	0.004577	563	0.248668	6.324110	0	0.000000	1.271975	563	0.248668	0.142000	0.159011	
462	0.006494	538	0.288104	6.324110	0	0.000000	1.271975	538	0.288104	0.158000	0.159010	
444	0.002252	556	0.287770	6.324110	0	0.000000	1.271975	556	0.287770	0.161000	0.159012	
441	0.006803	559	0.259392	6.324110	0	0.000000	1.271975	559	0.259392	0.148000	0.159002	
462	0.006494	538	0.302974	6.324110	0	0.000000	1.271975	538	0.302974	0.166000	0.159008	
447	0.004474	553	0.292948	6.324110	0	0.000000	1.271975	553	0.292948	0.164000	0.159013	
431	0.002320	569	0.254833	6.324110	0	0.000000	1.271975	569	0.254833	0.146000	0.159001	
428	0.002336	572	0.281469	6.324110	0	0.000000	1.271975	572	0.281469	0.162000	0.159004	
449	0.011136	551	0.270417	6.324110	0	0.000000	1.271975	551	0.270417	0.154000	0.158999	
449	0.008909	551	0.277677	6.324110	0	0.000000	1.271975	551	0.277677	0.157000	0.158997	
465	0.002151	535	0.302804	6.324110	0	0.000000	1.271975	535	0.302804	0.163000	0.159001	
421	0.007126	579	0.303972	6.324110	0	0.000000	1.271975	579	0.303972	0.179000	0.159019	
426	0.002347	574	0.290941	6.324110	0	0.000000	1.271975	574	0.290941	0.168000	0.159028	
433	0.006928	567	0.253968	6.324110	0	0.000000	1.271975	567	0.253968	0.147000	0.159017	
440	0.004545	560	0.258929	6.324110	0	0.000000	1.271975	560	0.258929	0.147000	0.159005	
442	0.011312	558	0.301075	6.324110	0	0.000000	1.271975	558	0.301075	0.173000	0.159018	
462	0.002165	538	0.291822	6.324110	0	0.000000	1.271975	538	0.291822	0.158000	0.159017	
401	0.000000	599	0.280467	6.324110	0	0.000000	1.271975	599	0.280467	0.168000	0.159026	
419	0.004773	581	0.282272	6.324110	0	0.000000	1.271975	581	0.282272	0.166000	0.159032	
453	0.002208	547	0.254113	6.324110	0	0.000000	1.271975	547	0.254113	0.140000	0.159015	
425	0.007059	575	0.274783	6.324110	0	0.000000	1.271975	575	0.274783	0.161000	0.159016	
415	0.002410	585	0.297436	6.324110	0	0.000000	1.271975	585	0.297436	0.175000	0.159031	
479	0.002088	521	0.287908	6.324110	0	0.000000	1.271975	521	0.287908	0.151000	0.159024	
422	0.004739	578	0.311419	6.324110	0	0.000000	1.271975	578	0.311419	0.182000	0.159045	
435	0.006897	565	0.283186	6.324110	0	0.000000	1.271975	565	0.283186	0.163000	0.159048	
433	0.000000	567	0.280423	6.324110	0	0.000000	1.271975	567	0.280423	0.159000	0.159048	
443	0.002257	557	0.228007	6.324110	0	0.000000	1.271975	557	0.228007	0.128000	0.159020	
426	0.018779	574	0.290941	6.324110	0	0.000000	1.271975	574	0.290941	0.175000	0.159035	
470	0.004255	530	0.311321	6.324110	0	0.000000	1.271975	530	0.311321	0.167000	0.159042	
436	0.009174	564	0.285461	6.324110	0	0.000000	1.271975	564	0.285461	0.165000	0.159047	
424	0.004717	576	0.255208	6.324110	0	0.000000	1.271975	576	0.255208	0.149000	0.159038	
426	0.002347	574	0.299652	6.324110	0	0.000000	1.271975	574	0.299652	0.173000	0.159051	
443	0.006772	557	0.285458	6.324110	0	0.000000	1.271975	557	0.285458	0.162000	0.159053	
440	0.004545	560	0.307143	6.324110	0	0.000000	1.271975	560	0.307143	0.174000	0.159067	
450	0.008889	550	0.303636	6.324110	0	0.000000	1.271975	550	0.303636	0.171000	0.159078	
443	0.004515	557	0.278276	6.324110	0	0.000000	1.271975	557	0.278276	0.157000	0.159076	
437	0.004577	563	0.269982	6.324110	0	0.000000	1.271975	563	0.269982	0.154000	0.159071	
420	0.002381	580	0.251724	6.324110	0	0.000000	1.271975	580	0.251724	0.147000	0.159060	
425	0.000000	575	0.321739	6.324110	0	0.000000	1.271975	575	0.321739	0.185000	0.159084	
436	0.002294	564	0.297872	6.324110	0	0.000000	1.271975	564	0.297872	0.169000	0.159093	
452	0.002212	548	0.295620	6.324110	0	0.000000	1.271975	548	0.295620	0.163000	0.159096	
431	0.000000	569	0.281195	6.324110	0	0.000000	1.271975	569	0.281195	0.160000	0.159097	
465	0.004301	535	0.284112	6.324110	0	0.000000	1.271975	535	0.284112	0.154000	0.159093	
450	0.002222	550	0.280000	6.324110	0	0.000000	1.271975	550	0.280000	0.155000	0.159089	
433	0.006928	567	0.264550	6.324110	0	0.000000	1.271975	567	0.264550	0.153000	0.159083	
445	0.006742	555	0.246847	6.324110	0	0.000000	1.271975	555	0.246847	0.140000	0.159066	
432	0.002315	568	0.308099	6.324110	0	0.000000	1.271975	568	0.308099	0.176000	0.159082	
421	0.002375	579	0.300518	6.324110	0	0.000000	1.271975	579	0.300518	0.175000	0.159096	
451	0.006652	549	0.284153	6.324110	0	0.000000	1.271975	549	0.284153	0.159000	0.159096	
454	0.006608	546	0.280220	6.324110	0	0.000000	1.271975	546	0.280220	0.156000	0.159093	
445	0.008989	555	0.284685	6.324110	0	0.000000	1.271975	555	0.284685	0.162000	0.159096	
462	0.002165	538	0.258364	6.324110	0	0.000000	1.271975	538	0.258364	0.140000	0.159078	
444	0.006757	556	0.269784	6.324110	0	0.000000	1.271975	556	0.269784	0.153000	0.159073	
444	0.006757	556	0.293165	6.324110	0	0.000000	1.271975	556	0.293165	0.166000	0.159079	
431	0.011601	569	0.239016	6.324110	0	0.000000	1.271975	569	0.239016	0.141000	0.159063	
434	0.011521	566	0.231449	6.324110	0	0.000000	1.271975	566	0.231449	0.136000	0.159043	
445	0.004494	555	0.279279	6.324110	0	0.000000	1.271975	555	0.279279	0.157000	0.159041	
437	0.006865	563	0.255773	6.324110	0	0.000000	1.271975	563	0.255773	0.147000	0.159030	
448	0.006696	552	0.284420	6.324110	0	0.000000	1.271975	552	0.284420	0.160000	0.159031	
452	0.011062	548	0.260949	6.324110	0	0.000000	1.271975	548	0.260949	0.148000	0.159021	
426	0.007042	574	0.263066	6.324110	0	0.000000	1.271975	574	0.263066	0.154000	0.159017	
408	0.009804	592	0.260135	6.324110	0	0.000000	1.271975	592	0.260135	0.158000	0.159016	
456	0.010965	544	0.281250	6.324110	0	0.000000	1.271975	544	0.281250	0.158000	0.159015	
451	0.008869	549	0.291439	6.324110	0	0.000000	1.271975	549	0.291439	0.164000	0.159019	
448	0.011161	552	0.315217	6.324110	0	0.000000	1.271975	552	0.315217	0.179000	0.159037	
434	0.004608	566	0.291519	6.324110	0	0.000000	1.271975	566	0.291519	0.167000	0.159044	
426	0.007042	574	0.282230	6.324110	0	0.000000	1.271975	574	0.282230	0.165000	0.159049	
455	0.015385	545	0.260550	6.324110	0	0.000000	1.271975	545	0.260550	0.149000	0.159040	
448	0.013393	552	0.253623	6.324110	0	0.000000	1.271975	552	0.253623	0.146000	0.159029	
427	0.009368	573	0.277487	6.324110	0	0.000000	1.271975	573	0.277487	0.163000	0.159032	
444	0.009009	556	0.300360	6.324110	0	0.000000	1.271975	556	0.300360	0.171000	0.159043	
453	0.006623	547	0.250457	6.324110	0	0.000000	1.271975	547	0.250457	0.140000	0.159026	
440	0.002273	560	0.283929	6.324110	0	0.000000	1.271975	560	0.283929	0.160000	0.159027	
455	0.017582	545	0.269725	6.324110	0	0.000000	1.271975	545	0.269725	0.155000	0.159024	
448	0.013393	552	0.275362	6.324110	0	0.000000	1.271975	552	0.275362	0.158000	0.159023	
453	0.008830	547	0.288848	6.324110	0	0.000000	1.271975	547	0.288848	0.162000	0.159025	
414	0.004831	586	0.296928	6.324110	0	0.000000	1.271975	586	0.296928	0.176000	0.159040	
448	0.017857	552	0.295290	6.324110	0	0.000000	1.271975	552	0.295290	0.171000	0.159051	
443	0.004515	557	0.278276	6.324110	0	0.000000	1.271975	557	0.278276	0.157000	0.159049	
465	0.008602	535	0.302804	6.324110	0	0.000000	1.271975	535	0.302804	0.166000	0.159055	
424	0.014151	576	0.274306	6.324110	0	0.000000	1.271975	576	0.274306	0.164000	0.159059	
459	0.015251	541	0.308688	6.324110	0	0.000000	1.271975	541	0.308688	0.174000	0.159072	
448	0.006696	552	0.255435	6.324110	0	0.000000	1.271975	552	0.255435	0.144000	0.159059	
451	0.004435	549	0.295082	6.324110	0	0.000000	1.271975	549	0.295082	0.164000	0.159063	
458	0.006550	542	0.274908	6.324110	0	0.000000	1.271975	542	0.274908	0.152000	0.159057	
435	0.009195	565	0.270796	6.324110	0	0.000000	1.271975	565	0.270796	0.157000	0.159055	
468	0.012821	532	0.257519	6.324110	0	0.000000	1.271975	532	0.257519	0.143000	0.159041	
455	0.015385	545	0.299083	6.324110	0	0.000000	1.271975	545	0.299083	0.170000	0.159051	
442	0.002262	558	0.263441	6.324110	0	0.000000	1.271975	558	0.263441	0.148000	0.159041	
457	0.013129	543	0.272560	6.324110	0	0.000000	1.271975	543	0.272560	0.154000	0.159037	
476	0.016807	524	0.284351	6.324110	0	0.000000	1.271975	524	0.284351	0.157000	0.159035	
448	0.008929	552	0.293478	6.324110	0	0.000000	1.271975	552	0.293478	0.166000	0.159041	
471	0.006369	529	0.289225	6.324110	0	0.000000	1.271975	529	0.289225	0.156000	0.159039	
433	0.016166	567	0.268078	6.324110	0	0.000000	1.271975	567	0.268078	0.159000	0.159039	
439	0.011390	561	0.254902	6.324110	0	0.000000	1.271975	561	0.254902	0.148000	0.159029	
