Default schedule
Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.275000	9.411331	1000	0.275000	0.275000	0.251016	
1000	0.287000	9.411331	1000	0.287000	0.287000	0.251052	
1000	0.264000	9.411331	1000	0.264000	0.264000	0.251065	
1000	0.272000	9.411331	1000	0.272000	0.272000	0.251085	
1000	0.249000	9.411331	1000	0.249000	0.249000	0.251083	
1000	0.258000	9.411331	1000	0.258000	0.258000	0.251090	
1000	0.251000	9.411331	1000	0.251000	0.251000	0.251090	
1000	0.278000	9.411331	1000	0.278000	0.278000	0.251117	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251127	
1000	0.275000	9.411331	1000	0.275000	0.275000	0.251150	
1000	0.267000	9.411331	1000	0.267000	0.267000	0.251166	
1000	0.254000	9.411331	1000	0.254000	0.254000	0.251169	
1000	0.266000	9.411331	1000	0.266000	0.266000	0.251183	
1000	0.249000	9.411331	1000	0.249000	0.249000	0.251181	
1000	0.231000	9.411331	1000	0.231000	0.231000	0.251161	
1000	0.240000	9.411331	1000	0.240000	0.240000	0.251150	
1000	0.279000	9.411331	1000	0.279000	0.279000	0.251178	
1000	0.234000	9.411331	1000	0.234000	0.234000	0.251161	
1000	0.265000	9.411331	1000	0.265000	0.265000	0.251174	
1000	0.219000	9.411331	1000	0.219000	0.219000	0.251143	
1000	0.257000	9.411331	1000	0.257000	0.257000	0.251149	
1000	0.238000	9.411331	1000	0.238000	0.238000	0.251136	
1000	0.218000	9.411331	1000	0.218000	0.218000	0.251103	
1000	0.253000	9.411331	1000	0.253000	0.253000	0.251105	
1000	0.243000	9.411331	1000	0.243000	0.243000	0.251097	
1000	0.255000	9.411331	1000	0.255000	0.255000	0.251101	
1000	0.239000	9.411331	1000	0.239000	0.239000	0.251089	
1000	0.254000	9.411331	1000	0.254000	0.254000	0.251092	
1000	0.242000	9.411331	1000	0.242000	0.242000	0.251083	
1000	0.262000	9.411331	1000	0.262000	0.262000	0.251094	
1000	0.253000	9.411331	1000	0.253000	0.253000	0.251096	
1000	0.246000	9.411331	1000	0.246000	0.246000	0.251091	
1000	0.243000	9.411331	1000	0.243000	0.243000	0.251083	
1000	0.242000	9.411331	1000	0.242000	0.242000	0.251074	
1000	0.246000	9.411331	1000	0.246000	0.246000	0.251069	
1000	0.265000	9.411331	1000	0.265000	0.265000	0.251083	
1000	0.281000	9.411331	1000	0.281000	0.281000	0.251112	
1000	0.272000	9.411331	1000	0.272000	0.272000	0.251132	
1000	0.266000	9.411331	1000	0.266000	0.266000	0.251146	
1000	0.235000	9.411331	1000	0.235000	0.235000	0.251131	
1000	0.264000	9.411331	1000	0.264000	0.264000	0.251143	
1000	0.241000	9.411331	1000	0.241000	0.241000	0.251133	
1000	0.264000	9.411331	1000	0.264000	0.264000	0.251145	
1000	0.254000	9.411331	1000	0.254000	0.254000	0.251148	
1000	0.252000	9.411331	1000	0.252000	0.252000	0.251149	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251158	
1000	0.244000	9.411331	1000	0.244000	0.244000	0.251152	
1000	0.259000	9.411331	1000	0.259000	0.259000	0.251159	
1000	0.268000	9.411331	1000	0.268000	0.268000	0.251175	
1000	0.263000	9.411331	1000	0.263000	0.263000	0.251186	
1000	0.262000	9.411331	1000	0.262000	0.262000	0.251197	
1000	0.240000	9.411331	1000	0.240000	0.240000	0.251186	
1000	0.267000	9.411331	1000	0.267000	0.267000	0.251201	
1000	0.229000	9.411331	1000	0.229000	0.229000	0.251180	
1000	0.237000	9.411331	1000	0.237000	0.237000	0.251167	
1000	0.251000	9.411331	1000	0.251000	0.251000	0.251166	
1000	0.269000	9.411331	1000	0.269000	0.269000	0.251183	
1000	0.278000	9.411331	1000	0.278000	0.278000	0.251209	
1000	0.244000	9.411331	1000	0.244000	0.244000	0.251202	
1000	0.251000	9.411331	1000	0.251000	0.251000	0.251202	
1000	0.258000	9.411331	1000	0.258000	0.258000	0.251208	
1000	0.245000	9.411331	1000	0.245000	0.245000	0.251202	
1000	0.245000	9.411331	1000	0.245000	0.245000	0.251196	
1000	0.272000	9.411331	1000	0.272000	0.272000	0.251216	
1000	0.254000	9.411331	1000	0.254000	0.254000	0.251219	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251228	
1000	0.266000	9.411331	1000	0.266000	0.266000	0.251242	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251251	
1000	0.252000	9.411331	1000	0.252000	0.252000	0.251251	
1000	0.285000	9.411331	1000	0.285000	0.285000	0.251283	
1000	0.259000	9.411331	1000	0.259000	0.259000	0.251290	
1000	0.273000	9.411331	1000	0.273000	0.273000	0.251310	
1000	0.266000	9.411331	1000	0.266000	0.266000	0.251324	
1000	0.280000	9.411331	1000	0.280000	0.280000	0.251351	
1000	0.290000	9.411331	1000	0.290000	0.290000	0.251387	
1000	0.250000	9.411331	1000	0.250000	0.250000	0.251385	
1000	0.275000	9.411331	1000	0.275000	0.275000	0.251407	
1000	0.266000	9.411331	1000	0.266000	0.266000	0.251421	
1000	0.247000	9.411331	1000	0.247000	0.247000	0.251417	
1000	0.275000	9.411331	1000	0.275000	0.275000	0.251439	
1000	0.274000	9.411331	1000	0.274000	0.274000	0.251460	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251468	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251477	
1000	0.258000	9.411331	1000	0.258000	0.258000	0.251483	
1000	0.261000	9.411331	1000	0.261000	0.261000	0.251492	
1000	0.269000	9.411331	1000	0.269000	0.269000	0.251508	
1000	0.259000	9.411331	1000	0.259000	0.259000	0.251515	
1000	0.267000	9.411331	1000	0.267000	0.267000	0.251529	
1000	0.273000	9.411331	1000	0.273000	0.273000	0.251549	
1000	0.248000	9.411331	1000	0.248000	0.248000	0.251546	
1000	0.247000	9.411331	1000	0.247000	0.247000	0.251541	
1000	0.247000	9.411331	1000	0.247000	0.247000	0.251537	
1000	0.246000	9.411331	1000	0.246000	0.246000	0.251532	
1000	0.256000	9.411331	1000	0.256000	0.256000	0.251536	
1000	0.223000	9.411331	1000	0.223000	0.223000	0.251510	
1000	0.273000	9.411331	1000	0.273000	0.273000	0.251530	
1000	0.260000	9.411331	1000	0.260000	0.260000	0.251538	
1000	0.254000	9.411331	1000	0.254000	0.254000	0.251540	
1000	0.244000	9.411331	1000	0.244000	0.244000	0.251533	
1000	0.279000	9.411331	1000	0.279000	0.279000	0.251558	
1000	0.268000	9.411331	1000	0.268000	0.268000	0.251573	
1000	0.245000	9.411331	1000	0.245000	0.245000	0.251567	
1000	0.273000	9.411331	1000	0.273000	0.273000	0.251586	
1000	0.248000	9.411331	1000	0.248000	0.248000	0.251583	
1000	0.260000	9.411331	1000	0.260000	0.260000	0.251591	
1000	0.247000	9.411331	1000	0.247000	0.247000	0.251587	
1000	0.263000	9.411331	1000	0.263000	0.263000	0.251597	
1000	0.262000	9.411331	1000	0.262000	0.262000	0.251606	
1000	0.226000	9.411331	1000	0.226000	0.226000	0.251583	
