Options:
Model:                           Continuous: Random Walk
Tree File Name:                  ../../data/processed/GTree_phylo4g_combined_trimmed.nex
Data File Name:                  ../../data/processed/AncestralStateReconstruction/GTree_Data_Tones_SIM2_continuous.txt
Log File Name:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM2_continuous_make.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            9898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      2000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM2_continuous_make.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	PBX	210	Tiv_Tivoid Aghem_Grassfields Kom_Grassfields Oku_Grassfields Moghamo_Grassfields Fefe_Grassfields Mungaka_Grassfields Bamun_Grassfields A53_Bafia_rikpa A45_Nyokon A44_Tunen A46_Nomaande A462_Yambeta A601_Tuki A622_Nugunu A62B_Mmala A62C_Libie A42_Abo A43a_Basaa A61_Ngoro-lunda A61_Ngoro-Asom A61_Ngoro-Bisoo A71_Eton A72a_Ewondo A74a_Bulu A75a_Fang_Bitam A75a_Fang_Minvoul A75a_Fang_Medouneu A24_Duala A33a_Yasa A32C_Batanga A34_Benga A22_Bakweri A122_Bakundu A11_Londo A121_Mbonge A141_Lefo A15C_Akossi A15C_Mkaa A15C_Elung_Central_Manenguba A15A_Mbuu A15_Manenguba A15B_Mienge_NW_Manenguba A91_Kwakum A93_Kako A83_Mekaa A803_Shiwa A81_Kwasio A86c_Mpiemo A84_Njem A841_Badwe B32_Kande B11a_Mpongwe B11b_Orungu B11c_Galwa B11d_Dyumba B11F_Enenga C85_Wongo C83_Bushong C71_Tetela C76_Ombo C105_Mbenga C36d_Lingala C104_Aka C101_Babole_Ma C101_Babole_Dz C101_Babole_Ep C32_Bobangi C22_Akwa C25_Mboshi C61_Mongo D12_Lengola D23_Kibira-Kumu_1919 D311_Bila C401_Pakabete D201_Liko B42_Sangu_Mb H16c_Yombe H42_Hunganna H11_Beembe H13_Kikunyi_1989 H131_Kisundi_Congo_Kimongo_1988 H16c_Kiyombe_DRC_1982 H16_Cilinji H16d_Ciwoyo_DRC_2012 H16_Cizobe H16_Kikongo H16b_Kindibu_2013 C34_Sakata B85_Yanzi B52_Nzebi B501_Wanzi_E B63_Ndumu B77b_Fumu B78_Wuumu H21a_Kimbundu L13_Kwese K31_Luyana L52_Lunda K11_Ciokwe K14_Lwena K33_Kwangali K332_Rumanyo R11_Umbundu R31_Herero R21_Kwanyama R22_Ndonga L31a_Luba-Kasai L33_Luba-Shaba D28_Holoholo D43_Nyanga M61_Lenje M42_Bemba M54_Lamba JD66_Kiha JD62_Rundi JD65_Hangaza JE25_Mkwaya JE25_Jita JE25_Kilegi JE45_Nata JE42_Gusii JE43_Kuria JE43_Kuria_Mago JE43_Kuria_Tari JE15_Luganda JE17_Gwere JE32_Luyia JE34_Samialugwe JE31_Lumasaaba JE31c_Bukusu JE23_Zinza JE21_Runyambo JE22_Haya JE13_Runyankore JE14_Rukiga F23_Sumbwa F22_Nyamwezi F21_Ntuzu F21_Sukuma F32_Nyaturucha F32_Nyaturuwil M13_Fipa M14_Rungu M15_Mambwe M25_Safwa M21_Ndali M31_Nyakyusa P31_Emakhua N21_Tumbuka_Malawi N31_Chewa S11_Shona S16_Kalanga S21_Venda K21_Lozi S31_Tswana S311_Shekgalagari S51_Tshwa S53_Tsonga S41_Xhosa S42_Zulu S44_Ndebele P13_Matumbi P21_Yao P23_Simakonde P25_Mabia G52_Ndamba N12_Ngoni G63_Bena G64_Pangwa F33_Langi G31_Zigua G23_Sambaa G24_Bondei G12_Kagulu G35_Luguru E71A_Upper_Pokomo E72a_Giryama E73_Digo G44a_Ngazija G44b_Ndzwani G41_Bajuni G42a_Amu G401_Mwani G43_Kae G42_Swahili G42d_Unguja G22_Asu G22A_North_Pare G22B_South_Pare G39_Saghala E65_Gweno E621D_Kibosho E621B_Machame E53_Meru E621C_Siha E64_Kahe E622C_Lema E622A_Kimochi E55_Kamba_Kitu E55_Kamba E55_Kamba_Mach E51_Kikuyu E54_Tharaka E53_Igoji E53_Miutini E53_Tigania E53_Merutig E53_Imenti E53_Meruimenti 
Save Model:                      ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_SIM2_continuous_models.bin
Restrictions:
    alpha-1                      None
Prior Information:
    Priors
        alpha-1 - uniform 0.00 12.00 
        AncState-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       211
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	
1001000	-410.173405	1	1.997102253497	251.796443590495	
1002000	-410.207117	1	1.996823628217	251.876916094562	
1003000	-410.170851	1	1.997124462429	251.790347366638	
1004000	-410.696751	1	2.005883329715	253.048613904042	
1005000	-410.124752	1	1.997559733892	251.680350240445	
1006000	-410.284906	1	2.003732145219	252.062702537451	
1007000	-410.143560	1	1.997373427642	251.725222780996	
1008000	-410.778212	1	2.006222160962	253.244080317573	
1009000	-411.820543	1	2.009564927212	255.758509534033	
1010000	-410.185477	1	2.002991526405	251.825256686478	
1011000	-410.054127	1	1.998447582749	251.511922728319	
1012000	-410.151021	1	2.002687959880	251.743026259613	
1013000	-410.913611	1	2.006748346137	253.569302703389	
1014000	-410.006354	1	1.999924724585	251.398059893086	
1015000	-410.381486	1	1.995658433656	252.293559162017	
1016000	-410.006955	1	1.999808324021	251.399489917899	
1017000	-410.189061	1	1.996969677126	251.833812235320	
1018000	-410.011679	1	2.000516528789	251.410747576049	
1019000	-410.202845	1	1.996857566522	251.866718594610	
1020000	-410.252923	1	1.996480130499	251.986301230964	
1021000	-410.064925	1	2.001709214924	251.537667920376	
1022000	-410.163922	1	1.997185584383	251.773812284582	
1023000	-410.147391	1	2.002653960010	251.734362877337	
1024000	-410.091748	1	2.002064306930	251.601627086174	
1025000	-410.067373	1	2.001744604973	251.543503595453	
1026000	-410.102356	1	1.997802081222	251.626926861229	
1027000	-410.031084	1	1.998880789670	251.456994308610	
1028000	-411.367108	1	2.008274366648	254.661629635400	
1029000	-410.259640	1	1.996432536782	252.002343578381	
1030000	-410.096157	1	2.002117008556	251.612143111614	
1031000	-410.045007	1	1.998602826397	251.490183749825	
1032000	-410.024503	1	1.999039867507	251.441310733922	
1033000	-410.572857	1	2.005327451145	252.751619869745	
1034000	-410.007842	1	2.000277393403	251.401604735755	
1035000	-410.267924	1	1.996374687576	252.022133198371	
1036000	-410.402416	1	1.995538895834	252.343615881578	
1037000	-410.627746	1	1.994410567030	252.883154443611	
1038000	-410.335441	1	2.004057351761	252.183470833595	
1039000	-410.007866	1	2.000279480327	251.401660967459	
1040000	-410.041710	1	1.998663400238	251.482324037687	
1041000	-410.381278	1	1.995659635278	252.293062889002	
1042000	-410.486489	1	1.995087759479	252.544789930035	
1043000	-410.021566	1	2.000870877184	251.434309728566	
1044000	-410.553980	1	1.994753390729	252.706401293407	
1045000	-410.535989	1	1.994840426863	252.663308781401	
1046000	-410.580399	1	1.994628120800	252.769690230865	
1047000	-410.127723	1	2.002461664092	251.687436859578	
1048000	-410.106289	1	1.997757620964	251.636308780058	
1049000	-410.253021	1	1.996479431177	251.986535388695	
1050000	-413.239440	1	1.987177725346	259.221509085514	
1051000	-410.258837	1	1.996438195058	252.000425051899	
1052000	-413.072317	1	2.012472676579	258.811200402020	
1053000	-410.407326	1	1.995511311120	252.355360295615	
1054000	-410.013122	1	2.000581755427	251.414186746728	
1055000	-411.502111	1	1.991312950236	254.987713719832	
1056000	-410.051840	1	1.998485009820	251.506471785160	
1057000	-410.006692	1	1.999847569336	251.398863583391	
1058000	-410.194459	1	1.996925291600	251.846696993405	
1059000	-410.357160	1	1.995801615651	252.235392685567	
1060000	-410.134731	1	2.002531857145	251.704157950736	
1061000	-410.010012	1	2.000429186198	251.406776876832	
1062000	-410.059160	1	2.001622816372	251.523922220359	
1063000	-410.426458	1	2.004585644244	252.401128371256	
1064000	-410.306916	1	2.003877120673	252.115296187323	
1065000	-410.283618	1	2.003723490325	252.059626065101	
1066000	-410.102549	1	1.997799876697	251.627387619976	
1067000	-410.011501	1	1.999483134443	251.410323180566	
1068000	-410.088437	1	1.997967201446	251.593731426271	
1069000	-410.618014	1	2.005536446822	252.859829518687	
1070000	-410.026620	1	1.998985949557	251.446356532493	
1071000	-413.029204	1	2.012383371074	258.705457366695	
1072000	-410.732639	1	2.006034913537	253.134708608008	
1073000	-411.245822	1	1.992096482898	254.369030093229	
1074000	-412.176545	1	2.010470624109	256.623006160117	
1075000	-410.707019	1	2.005927088769	253.073242946642	
1076000	-410.008024	1	2.000293087673	251.402037783808	
1077000	-410.019497	1	1.999181435625	251.429380228450	
1078000	-410.454478	1	2.004736529333	252.468173264666	
1079000	-411.100491	1	1.992576530916	254.018865371637	
1080000	-410.030433	1	2.001095550064	251.455444037109	
1081000	-410.492635	1	1.995056383190	252.559502409346	
1082000	-410.155541	1	2.002729696752	251.753811604676	
1083000	-410.606526	1	2.005484026511	252.832297518541	
1084000	-411.468820	1	1.991410789211	254.907264609108	
1085000	-410.023655	1	2.000928682240	251.439287949513	
1086000	-411.411147	1	2.008408134166	254.767953308516	
1087000	-410.314269	1	2.003924360964	252.132866243084	
1088000	-410.006559	1	1.999872011110	251.398547631319	
1089000	-410.757029	1	1.993855212055	253.193237527480	
1090000	-410.147300	1	2.002653104064	251.734146197711	
1091000	-410.703794	1	1.994077658860	253.065507667906	
1092000	-410.091041	1	2.002055741215	251.599942883420	
