Options:
Model:                           Continuous: Random Walk
Tree File Name:                  ../../data/processed/GTree_phylo4g_combined_trimmed.nex
Data File Name:                  ../../data/processed/AncestralStateReconstruction/GTree_Data_Tones_continuous.txt
Log File Name:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_continuous_make.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            9898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      2000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_continuous_make.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	PBX	210	Tiv_Tivoid Aghem_Grassfields Kom_Grassfields Oku_Grassfields Moghamo_Grassfields Fefe_Grassfields Mungaka_Grassfields Bamun_Grassfields A53_Bafia_rikpa A45_Nyokon A44_Tunen A46_Nomaande A462_Yambeta A601_Tuki A622_Nugunu A62B_Mmala A62C_Libie A43a_Basaa A42_Abo A61_Ngoro-lunda A61_Ngoro-Asom A61_Ngoro-Bisoo A71_Eton A72a_Ewondo A74a_Bulu A75a_Fang_Bitam A75a_Fang_Minvoul A75a_Fang_Medouneu A24_Duala A33a_Yasa A32C_Batanga A34_Benga A22_Bakweri A122_Bakundu A11_Londo A121_Mbonge A141_Lefo A15C_Akossi A15C_Mkaa A15C_Elung_Central_Manenguba A15A_Mbuu A15_Manenguba A15B_Mienge_NW_Manenguba A91_Kwakum A93_Kako A803_Shiwa A81_Kwasio A83_Mekaa A84_Njem A841_Badwe A86c_Mpiemo B32_Kande B11a_Mpongwe B11b_Orungu B11c_Galwa B11d_Dyumba B11F_Enenga C85_Wongo C83_Bushong C71_Tetela C76_Ombo C105_Mbenga C36d_Lingala C104_Aka C101_Babole_Ma C101_Babole_Dz C32_Bobangi C101_Babole_Ep C22_Akwa C25_Mboshi D12_Lengola C61_Mongo D23_Kibira-Kumu_1919 D311_Bila D201_Liko C401_Pakabete H16c_Yombe B42_Sangu_Mb H42_Hunganna H11_Beembe H13_Kikunyi_1989 H131_Kisundi_Congo_Kimongo_1988 H16c_Kiyombe_DRC_1982 H16_Cilinji H16d_Ciwoyo_DRC_2012 H16_Cizobe H16_Kikongo H16b_Kindibu_2013 C34_Sakata B85_Yanzi B501_Wanzi_E B52_Nzebi B78_Wuumu B77b_Fumu B63_Ndumu H21a_Kimbundu L13_Kwese K31_Luyana L52_Lunda K11_Ciokwe K14_Lwena K33_Kwangali K332_Rumanyo R11_Umbundu R31_Herero R21_Kwanyama R22_Ndonga L31a_Luba-Kasai L33_Luba-Shaba D28_Holoholo D43_Nyanga M61_Lenje M42_Bemba M54_Lamba JD66_Kiha JD62_Rundi JD65_Hangaza JE25_Mkwaya JE25_Jita JE25_Kilegi JE45_Nata JE42_Gusii JE43_Kuria JE43_Kuria_Mago JE43_Kuria_Tari JE17_Gwere JE15_Luganda JE32_Luyia JE34_Samialugwe JE31_Lumasaaba JE31c_Bukusu JE23_Zinza JE21_Runyambo JE22_Haya JE13_Runyankore JE14_Rukiga F23_Sumbwa F22_Nyamwezi F21_Ntuzu F21_Sukuma F32_Nyaturucha F32_Nyaturuwil M13_Fipa M14_Rungu M15_Mambwe M21_Ndali M31_Nyakyusa M25_Safwa P31_Emakhua N21_Tumbuka_Malawi N31_Chewa S11_Shona S16_Kalanga S21_Venda K21_Lozi S31_Tswana S311_Shekgalagari S51_Tshwa S53_Tsonga S41_Xhosa S42_Zulu S44_Ndebele P21_Yao P23_Simakonde P25_Mabia P13_Matumbi G52_Ndamba N12_Ngoni G64_Pangwa G63_Bena F33_Langi G31_Zigua G23_Sambaa G24_Bondei G12_Kagulu G35_Luguru E71A_Upper_Pokomo E72a_Giryama E73_Digo G44a_Ngazija G44b_Ndzwani G42a_Amu G41_Bajuni G401_Mwani G43_Kae G42_Swahili G42d_Unguja G22_Asu G22A_North_Pare G22B_South_Pare G39_Saghala E65_Gweno E621D_Kibosho E621B_Machame E53_Meru E621C_Siha E64_Kahe E622A_Kimochi E622C_Lema E55_Kamba_Kitu E55_Kamba E55_Kamba_Mach E51_Kikuyu E54_Tharaka E53_Igoji E53_Miutini E53_Tigania E53_Merutig E53_Imenti E53_Meruimenti 
Save Model:                      ../../results/BayesTraitsOutput/AncestralStateReconstruction/Anc_Tones_continuous_models.bin
Restrictions:
    alpha-1                      None
Prior Information:
    Priors
        alpha-1 - uniform 0.00 12.00 
        AncState-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       211
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	
1001000	-427.658564	1	1.996162377738	297.185670343511	
1002000	-428.147003	1	2.006625948123	298.564758782596	
1003000	-429.339894	1	1.989283589218	301.959794563718	
1004000	-428.675705	1	1.991334674553	300.064738411346	
1005000	-427.426293	1	1.998970293108	296.532101323572	
1006000	-427.808308	1	2.004875553367	297.607789627644	
1007000	-427.662519	1	2.003888477788	297.196811635615	
1008000	-429.373648	1	1.989189419821	302.056420318891	
1009000	-428.268878	1	2.007152702548	298.909863482790	
1010000	-427.503426	1	1.997636255096	296.748981481374	
1011000	-427.413381	1	1.999445064791	296.495809983226	
1012000	-427.530365	1	2.002698674031	296.824763255389	
1013000	-428.616209	1	1.991541894908	299.895565978834	
1014000	-427.633612	1	2.003661390217	297.115391354153	
1015000	-429.649309	1	2.011572587413	302.846696763231	
1016000	-427.423341	1	2.000962823625	296.523803170050	
1017000	-427.517084	1	2.002548557319	296.787400570709	
1018000	-427.410323	1	1.999637451683	296.487216099518	
1019000	-427.788156	1	2.004751293641	297.550947505263	
1020000	-427.510475	1	2.002470444087	296.768807847658	
1021000	-428.090690	1	1.993652516902	298.405436145816	
1022000	-427.868792	1	1.994789669260	297.778459094029	
1023000	-427.676180	1	1.996029255711	297.235299603173	
1024000	-427.761659	1	1.995437764321	297.476223518196	
1025000	-427.420175	1	2.000859110337	296.514906652280	
1026000	-427.574442	1	2.003145922703	296.948801929557	
1027000	-429.269801	1	2.010538840903	301.759241212709	
1028000	-427.617001	1	1.996496276488	297.068615132781	
1029000	-427.823052	1	2.004964503963	297.649382840548	
1030000	-427.664089	1	2.003900439213	297.201236462526	
1031000	-427.834711	1	1.994986830381	297.682280396409	
1032000	-427.605281	1	2.003424269431	297.035615394047	
1033000	-427.410685	1	1.999609799513	296.488234396538	
1034000	-427.409217	1	1.999738697710	296.484109148202	
1035000	-428.257195	1	1.992916696160	298.876764050605	
1036000	-427.438174	1	2.001345532782	296.565496699860	
1037000	-427.599716	1	2.003375738611	297.019948025467	
1038000	-427.615350	1	2.003510380033	297.063966873164	
1039000	-427.548309	1	2.002889124964	296.875253430392	
1040000	-427.408430	1	2.000175526883	296.481896929506	
1041000	-428.834042	1	1.990805368196	300.515422717894	
1042000	-427.566636	1	2.003071465063	296.926830278053	
1043000	-427.504234	1	1.997626223758	296.751254363069	
1044000	-427.559695	1	2.003003711641	296.907295797120	
1045000	-427.507506	1	1.997586027312	296.760458141062	
1046000	-427.412919	1	1.999469695783	296.494512958231	
1047000	-427.636610	1	1.996334977644	297.123836090945	
1048000	-429.117302	1	1.989925781870	301.323369278160	
1049000	-427.408670	1	2.000213901103	296.482570960706	
1050000	-427.584497	1	1.996781268446	296.977104299526	
1051000	-427.415154	1	2.000661559780	296.500794848561	
1052000	-428.144037	1	1.993407959502	298.556365592870	
1053000	-428.401507	1	1.992334988174	299.285871865388	
1054000	-427.510124	1	2.002466227811	296.767820807935	
1055000	-427.443273	1	2.001453854698	296.579830481855	
1056000	-427.426364	1	1.998968281488	296.532300763123	
1057000	-427.733693	1	1.995622548365	297.397379267646	
1058000	-427.452763	1	1.998384200174	296.606510168952	
1059000	-427.958048	1	2.005715332753	298.030495212772	
1060000	-428.645758	1	1.991438366796	299.979573999322	
1061000	-427.645297	1	2.003754840978	297.148302620469	
1062000	-427.608100	1	2.003448591918	297.043551884869	
1063000	-427.786284	1	2.004739586413	297.545667880539	
1064000	-429.468150	1	1.988929872406	302.327109658657	
1065000	-427.622606	1	2.003571142673	297.084397640266	
1066000	-427.653935	1	2.003822454341	297.172633114137	
1067000	-427.814919	1	1.995104940604	297.626437327451	
1068000	-427.409891	1	1.999673339698	296.486003103992	
1069000	-428.561632	1	1.991736436813	299.740466016292	
1070000	-428.483652	1	1.992022435233	299.518996204711	
1071000	-427.722757	1	1.995696944256	297.366553985025	
1072000	-430.732723	1	1.985891741393	305.972751771806	
1073000	-427.944373	1	2.005643787968	297.991865601320	
1074000	-427.408016	1	1.999956820164	296.480732836856	
1075000	-427.662063	1	1.996135568725	297.195529296373	
1076000	-428.092149	1	1.993645705454	298.409562740073	
1077000	-429.087142	1	2.010004712075	301.237240175307	
1078000	-427.411070	1	2.000438186720	296.489315772184	
1079000	-427.598308	1	1.996657222185	297.015984807165	
1080000	-429.761897	1	2.011862602740	303.170061708253	
1081000	-427.496147	1	2.002291960898	296.728505680769	
1082000	-427.836378	1	1.994977010687	297.686983015013	
1083000	-427.460348	1	2.001768698775	296.627836879569	
1084000	-427.454233	1	2.001662847090	296.610643511832	
1085000	-427.480023	1	2.002072758759	296.683160182054	
1086000	-427.482576	1	1.997911581431	296.690339855092	
1087000	-427.692867	1	2.004113447839	297.282315575891	
1088000	-427.455312	1	1.998338565311	296.613676667308	
1089000	-427.515931	1	2.002535104284	296.784157019743	
1090000	-427.829638	1	1.995016838490	297.667966525988	
1091000	-427.953315	1	2.005690672463	298.017125175247	
1092000	-427.686512	1	1.995953203504	297.264410186487	
