Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.317000	1.009732	1000	0.317000	0.317000	0.285877	
1000	0.311000	1.009732	1000	0.311000	0.311000	0.286360	
1000	0.302000	1.009732	1000	0.302000	0.302000	0.286655	
1000	0.306000	1.009732	1000	0.306000	0.306000	0.287013	
1000	0.311000	1.009732	1000	0.311000	0.311000	0.287449	
1000	0.281000	1.009732	1000	0.281000	0.281000	0.287334	
1000	0.332000	1.009732	1000	0.332000	0.332000	0.288118	
1000	0.322000	1.009732	1000	0.322000	0.322000	0.288702	
1000	0.310000	1.009732	1000	0.310000	0.310000	0.289063	
1000	0.307000	1.009732	1000	0.307000	0.307000	0.289362	
1000	0.317000	1.009732	1000	0.317000	0.317000	0.289815	
1000	0.304000	1.009732	1000	0.304000	0.304000	0.290044	
1000	0.309000	1.009732	1000	0.309000	0.309000	0.290345	
1000	0.332000	1.009732	1000	0.332000	0.332000	0.290995	
1000	0.324000	1.009732	1000	0.324000	0.324000	0.291503	
1000	0.298000	1.009732	1000	0.298000	0.298000	0.291602	
1000	0.316000	1.009732	1000	0.316000	0.316000	0.291966	
1000	0.317000	1.009732	1000	0.317000	0.317000	0.292334	
1000	0.341000	1.009732	1000	0.341000	0.341000	0.293039	
1000	0.281000	1.009732	1000	0.281000	0.281000	0.292867	
1000	0.305000	1.009732	1000	0.305000	0.305000	0.293038	
1000	0.274000	1.009732	1000	0.274000	0.274000	0.292774	
1000	0.332000	1.009732	1000	0.332000	0.332000	0.293311	
1000	0.287000	1.009732	1000	0.287000	0.287000	0.293226	
1000	0.300000	1.009732	1000	0.300000	0.300000	0.293316	
1000	0.307000	1.009732	1000	0.307000	0.307000	0.293496	
1000	0.308000	1.009732	1000	0.308000	0.308000	0.293684	
1000	0.330000	1.009732	1000	0.330000	0.330000	0.294150	
1000	0.318000	1.009732	1000	0.318000	0.318000	0.294452	
1000	0.337000	1.009732	1000	0.337000	0.337000	0.294984	
1000	0.322000	1.009732	1000	0.322000	0.322000	0.295317	
1000	0.316000	1.009732	1000	0.316000	0.316000	0.295570	
1000	0.327000	1.009732	1000	0.327000	0.327000	0.295948	
1000	0.307000	1.009732	1000	0.307000	0.307000	0.296080	
1000	0.295000	1.009732	1000	0.295000	0.295000	0.296067	
1000	0.311000	1.009732	1000	0.311000	0.311000	0.296241	
1000	0.321000	1.009732	1000	0.321000	0.321000	0.296525	
1000	0.328000	1.009732	1000	0.328000	0.328000	0.296883	
1000	0.299000	1.009732	1000	0.299000	0.299000	0.296907	
1000	0.341000	1.009732	1000	0.341000	0.341000	0.297397	
1000	0.347000	1.009732	1000	0.347000	0.347000	0.297942	
1000	0.317000	1.009732	1000	0.317000	0.317000	0.298149	
