Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.255000	0.129549	1000	0.255000	0.255000	0.263948	
1000	0.249000	0.129549	1000	0.249000	0.249000	0.263933	
1000	0.261000	0.129549	1000	0.261000	0.261000	0.263930	
1000	0.258000	0.129549	1000	0.258000	0.258000	0.263924	
1000	0.263000	0.129549	1000	0.263000	0.263000	0.263923	
1000	0.288000	0.129549	1000	0.288000	0.288000	0.263947	
1000	0.267000	0.129549	1000	0.267000	0.267000	0.263950	
1000	0.250000	0.129549	1000	0.250000	0.250000	0.263936	
1000	0.257000	0.129549	1000	0.257000	0.257000	0.263929	
1000	0.283000	0.129549	1000	0.283000	0.283000	0.263948	
1000	0.256000	0.129549	1000	0.256000	0.256000	0.263940	
1000	0.252000	0.129549	1000	0.252000	0.252000	0.263929	
1000	0.304000	0.129549	1000	0.304000	0.304000	0.263968	
1000	0.254000	0.129549	1000	0.254000	0.254000	0.263958	
1000	0.225000	0.129549	1000	0.225000	0.225000	0.263920	
1000	0.269000	0.129549	1000	0.269000	0.269000	0.263925	
1000	0.239000	0.129549	1000	0.239000	0.239000	0.263900	
1000	0.277000	0.129549	1000	0.277000	0.277000	0.263913	
1000	0.257000	0.129549	1000	0.257000	0.257000	0.263907	
1000	0.265000	0.129549	1000	0.265000	0.265000	0.263908	
1000	0.264000	0.129549	1000	0.264000	0.264000	0.263908	
1000	0.288000	0.129549	1000	0.288000	0.288000	0.263931	
1000	0.256000	0.129549	1000	0.256000	0.256000	0.263923	
1000	0.277000	0.129549	1000	0.277000	0.277000	0.263936	
1000	0.265000	0.129549	1000	0.265000	0.265000	0.263937	
1000	0.247000	0.129549	1000	0.247000	0.247000	0.263921	
1000	0.280000	0.129549	1000	0.280000	0.280000	0.263936	
1000	0.268000	0.129549	1000	0.268000	0.268000	0.263940	
1000	0.282000	0.129549	1000	0.282000	0.282000	0.263958	
1000	0.273000	0.129549	1000	0.273000	0.273000	0.263967	
1000	0.302000	0.129549	1000	0.302000	0.302000	0.264004	
1000	0.250000	0.129549	1000	0.250000	0.250000	0.263990	
1000	0.280000	0.129549	1000	0.280000	0.280000	0.264006	
1000	0.260000	0.129549	1000	0.260000	0.260000	0.264002	
1000	0.257000	0.129549	1000	0.257000	0.257000	0.263995	
1000	0.251000	0.129549	1000	0.251000	0.251000	0.263982	
1000	0.262000	0.129549	1000	0.262000	0.262000	0.263980	
1000	0.273000	0.129549	1000	0.273000	0.273000	0.263989	
1000	0.257000	0.129549	1000	0.257000	0.257000	0.263982	
1000	0.303000	0.129549	1000	0.303000	0.303000	0.264020	
1000	0.268000	0.129549	1000	0.268000	0.268000	0.264024	
1000	0.242000	0.129549	1000	0.242000	0.242000	0.264003	
1000	0.242000	0.129549	1000	0.242000	0.242000	0.263982	
1000	0.280000	0.129549	1000	0.280000	0.280000	0.263997	
1000	0.286000	0.129549	1000	0.286000	0.286000	0.264018	
1000	0.266000	0.129549	1000	0.266000	0.266000	0.264020	
1000	0.287000	0.129549	1000	0.287000	0.287000	0.264042	
1000	0.266000	0.129549	1000	0.266000	0.266000	0.264044	
1000	0.263000	0.129549	1000	0.263000	0.263000	0.264043	
1000	0.281000	0.129549	1000	0.281000	0.281000	0.264059	
