Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.290000	0.060179	1000	0.290000	0.290000	0.285278	
1000	0.297000	0.060179	1000	0.297000	0.297000	0.285290	
1000	0.283000	0.060179	1000	0.283000	0.283000	0.285288	
1000	0.287000	0.060179	1000	0.287000	0.287000	0.285290	
1000	0.279000	0.060179	1000	0.279000	0.279000	0.285283	
1000	0.288000	0.060179	1000	0.288000	0.288000	0.285286	
1000	0.305000	0.060179	1000	0.305000	0.305000	0.285306	
1000	0.285000	0.060179	1000	0.285000	0.285000	0.285305	
1000	0.295000	0.060179	1000	0.295000	0.295000	0.285315	
1000	0.285000	0.060179	1000	0.285000	0.285000	0.285315	
1000	0.303000	0.060179	1000	0.303000	0.303000	0.285332	
1000	0.310000	0.060179	1000	0.310000	0.310000	0.285356	
1000	0.281000	0.060179	1000	0.281000	0.281000	0.285352	
1000	0.309000	0.060179	1000	0.309000	0.309000	0.285375	
1000	0.272000	0.060179	1000	0.272000	0.272000	0.285362	
1000	0.302000	0.060179	1000	0.302000	0.302000	0.285379	
1000	0.275000	0.060179	1000	0.275000	0.275000	0.285368	
1000	0.275000	0.060179	1000	0.275000	0.275000	0.285358	
1000	0.265000	0.060179	1000	0.265000	0.265000	0.285338	
1000	0.293000	0.060179	1000	0.293000	0.293000	0.285346	
1000	0.262000	0.060179	1000	0.262000	0.262000	0.285323	
1000	0.306000	0.060179	1000	0.306000	0.306000	0.285343	
1000	0.308000	0.060179	1000	0.308000	0.308000	0.285365	
1000	0.288000	0.060179	1000	0.288000	0.288000	0.285368	
1000	0.270000	0.060179	1000	0.270000	0.270000	0.285353	
1000	0.305000	0.060179	1000	0.305000	0.305000	0.285372	
1000	0.308000	0.060179	1000	0.308000	0.308000	0.285394	
1000	0.301000	0.060179	1000	0.301000	0.301000	0.285409	
1000	0.297000	0.060179	1000	0.297000	0.297000	0.285421	
1000	0.287000	0.060179	1000	0.287000	0.287000	0.285422	
1000	0.282000	0.060179	1000	0.282000	0.282000	0.285419	
1000	0.276000	0.060179	1000	0.276000	0.276000	0.285410	
1000	0.297000	0.060179	1000	0.297000	0.297000	0.285421	
1000	0.305000	0.060179	1000	0.305000	0.305000	0.285440	
1000	0.291000	0.060179	1000	0.291000	0.291000	0.285445	
1000	0.287000	0.060179	1000	0.287000	0.287000	0.285447	
1000	0.284000	0.060179	1000	0.284000	0.284000	0.285445	
1000	0.297000	0.060179	1000	0.297000	0.297000	0.285456	
1000	0.285000	0.060179	1000	0.285000	0.285000	0.285456	
1000	0.285000	0.060179	1000	0.285000	0.285000	0.285455	
1000	0.274000	0.060179	1000	0.274000	0.274000	0.285444	
1000	0.297000	0.060179	1000	0.297000	0.297000	0.285456	
1000	0.291000	0.060179	1000	0.291000	0.291000	0.285461	
1000	0.275000	0.060179	1000	0.275000	0.275000	0.285451	
1000	0.296000	0.060179	1000	0.296000	0.296000	0.285461	
1000	0.288000	0.060179	1000	0.288000	0.288000	0.285463	
1000	0.270000	0.060179	1000	0.270000	0.270000	0.285449	
1000	0.293000	0.060179	1000	0.293000	0.293000	0.285456	
1000	0.301000	0.060179	1000	0.301000	0.301000	0.285471	
1000	0.279000	0.060179	1000	0.279000	0.279000	0.285464	
1000	0.282000	0.060179	1000	0.282000	0.282000	0.285461	
1000	0.316000	0.060179	1000	0.316000	0.316000	0.285490	
1000	0.287000	0.060179	1000	0.287000	0.287000	0.285492	
1000	0.305000	0.060179	1000	0.305000	0.305000	0.285510	
1000	0.267000	0.060179	1000	0.267000	0.267000	0.285493	
1000	0.279000	0.060179	1000	0.279000	0.279000	0.285486	
1000	0.278000	0.060179	1000	0.278000	0.278000	0.285479	
1000	0.303000	0.060179	1000	0.303000	0.303000	0.285496	
1000	0.278000	0.060179	1000	0.278000	0.278000	0.285489	
1000	0.284000	0.060179	1000	0.284000	0.284000	0.285487	
1000	0.316000	0.060179	1000	0.316000	0.316000	0.285516	
