"Name_on_tree_tip2","glottolog_id","xd_ids","soc_ids","Language","Tones","Phonemes","Consonants","Vowels","Lang.Source","InventoryID","ASJPVowelRatio"
"A51_Bafia_maja","lefa1242","","",NA,NA,NA,NA,NA,NA,NA,0.384381779698386
"A53_Bafia_rikpa","bafi1243","xd169","Ae48","kpaʔ",5,48,25,18,"Phoible (ph)",1258,0.448281786941581
"A54_Tibea","tibe1274","","",NA,NA,NA,NA,NA,NA,NA,0.424137931034483
"A601_Tuki","tuki1240","","","Tuki",4,39,25,10,"Phoible (ph)",1573,0.489389265571234
"A61_Ngoro-Asom","tuki1240","","","Tuki",4,39,25,10,"Phoible (ph)",1573,0.489389265571234
"A61_Ngoro-Bisoo","tuki1240","","","Tuki",4,39,25,10,"Phoible (ph)",1573,0.489389265571234
"A61_Ngoro-lunda","tuki1240","","","Tuki",4,39,25,10,"Phoible (ph)",1573,0.489389265571234
"A621_Nubaca","nuba1241","","",NA,NA,NA,NA,NA,NA,NA,0.443396226415094
"A622_Nugunu","nugu1242","","","Nugunu",4,35,24,7,"Phoible (ph)",1629,0.545874656168774
"A62A_Nuasue","yang1293","","",NA,NA,NA,NA,NA,NA,NA,0.456004563883
"A62A_Nukalonge","yang1293","","",NA,NA,NA,NA,NA,NA,NA,0.456004563883
"A62B_Mmala","mmaa1238","","","Numala",2,34,23,9,"Phoible (ph)",1596,0.47402225495009
"A62C_Libie","elip1238","","","Nulibie",4,30,19,7,"Phoible (ph)",969,0.474747474747475
"A63_Mangisa","leti1245","","",NA,NA,NA,NA,NA,NA,NA,NA
"A71_Eton","eton1253","","","Eton",2,38,21,15,"Phoible (ph)",1563,0.403381545883413
"A72a_Ewondo","ewon1239","","","Ewondo",3,25,15,7,"Phoible (aa)",709,0.416538618689131
"A74a_Bulu","bulu1251","","","Bulu",5,36,24,7,"Phoible (aa)",684,0.419047619047619
"A75a_Fang_Bitam","fang1246","xd149","Ae3","Fan",0,41,25,16,"Phoible (ph)",877,0.407947140716897
"A75a_Fang_Medouneu","fang1246","","","Fan",0,41,25,16,"Phoible (ph)",877,0.407947140716897
"A75a_Fang_Minvoul","fang1246","","","Fan",0,41,25,16,"Phoible (ph)",877,0.407947140716897
"A803_Shiwa","maka1304","","","Mekaa",4,55,30,21,"Phoible (aa)",783,0.428046540110227
"A81_Kwasio","kwas1243","xd163","Ae42","Ngumba",3,NA,NA,NA,"ANU",2263,0.446030584865918
"A83_Mekaa","maka1304","","","Mekaa",4,55,30,21,"Phoible (aa)",783,0.428046540110227
"A832_Bekol","kolc1235","","",NA,NA,NA,NA,NA,NA,NA,0.426356589147287
"A84_Njem","koon1245","","","Kɔɔzime",6,52,22,24,"Phoible (aa)",747,0.449154589371981
"A841_Badwe","koon1245","","","Kɔɔzime",6,52,22,24,"Phoible (aa)",747,0.449154589371981
"A85b_Bekwil_Makokou","bekw1242","","",NA,NA,NA,NA,NA,NA,NA,0.427650242955734
"A85b_Bekwil_Mv","bekw1242","","",NA,NA,NA,NA,NA,NA,NA,0.427650242955734
"A86c_Mpiemo","mpie1238","","",NA,2,NA,20,7,"Extra",NA,0.479523272374486
"A87_Bomwali","bomw1238","xd164","Ae43",NA,NA,NA,NA,NA,NA,NA,0.445054945054945
"A91_Kwakum","kwak1266","","",NA,3,NA,31,7,"Extra",NA,0.423357664233577
"A93_Kako","kako1242","","","Kako",2,47,33,12,"Phoible (ph)",1581,0.480469965764083
"Aghem_Grassfields","aghe1239","","","Aghem",2,49,28,19,"Phoible (ph)",1524,0.451908288392692
"B11a_Mpongwe","myen1241","xd167","Ae46","myene",0,36,29,7,"Phoible (ph)",1263,0.462041283866335
"B11b_Orungu","myen1241","","","myene",0,36,29,7,"Phoible (ph)",1263,0.462041283866335
"B11c_Galwa","myen1241","","","myene",0,36,29,7,"Phoible (ph)",1263,0.462041283866335
"B11d_Dyumba","myen1241","","","myene",0,36,29,7,"Phoible (ph)",1263,0.462041283866335
"B11F_Enenga","myen1241","","","myene",0,36,29,7,"Phoible (ph)",1263,0.462041283866335
"B201_Ndasa","ndas1238","","",NA,NA,NA,NA,NA,NA,NA,0.489064622606062
"B202_Sigu","sigh1238","","",NA,NA,NA,NA,NA,NA,NA,0.471153846153846
"B203_Samaye","osam1235","","",NA,NA,NA,NA,NA,NA,NA,0.442307692307692
"B204_Ndambomo_Li","ndam1254","","",NA,NA,NA,NA,NA,NA,NA,NA
"B204_Ndambomo_Massoukou","ndam1254","","",NA,NA,NA,NA,NA,NA,NA,NA
"B204_Ndambomo_Mbadi","ndam1254","","",NA,NA,NA,NA,NA,NA,NA,NA
"B21_Seki","seki1238","","",NA,NA,NA,NA,NA,NA,NA,0.464526315374118
"B22a_Kele","kele1257","","",NA,NA,NA,NA,NA,NA,NA,0.414492753623188
"B22b_Koya","ngom1270","","",NA,NA,NA,NA,NA,NA,NA,0.478250297175784
"B22b_Ngom","ngom1270","","",NA,NA,NA,NA,NA,NA,NA,0.478250297175784
"B22E_Mwesa","mwes1234","","",NA,NA,NA,NA,NA,NA,NA,NA
"B23_Mbangwe","mban1268","","",NA,NA,NA,NA,NA,NA,NA,0.486194947462553
"B24_Wumbvu","wumb1242","","",NA,NA,NA,NA,NA,NA,NA,0.482712842712843
"B25_Kota","kota1274","xd162","Ae41",NA,NA,NA,NA,NA,NA,NA,0.489004538900216
"B251_Shake","sake1247","","",NA,NA,NA,NA,NA,NA,NA,0.486353318439764
"B252_Mahongwe","maho1248","","",NA,NA,NA,NA,NA,NA,NA,0.485730161130406
"B301_Viya","bubi1250","","",NA,NA,NA,NA,NA,NA,NA,0.504096049738187
"B302_Himba","simb1254","","",NA,NA,NA,NA,NA,NA,NA,0.500435540069686
"B304_Pinzi","pinj1243","","",NA,NA,NA,NA,NA,NA,NA,0.491996060304809
"B305_Vove","bubi1250","","",NA,NA,NA,NA,NA,NA,NA,0.504096049738187
"B31_Tsogo","tsog1243","xd40","Ac16",NA,NA,NA,NA,NA,NA,NA,0.50657657169202
"B32_Kande","kand1300","","",NA,2,NA,14,7,"Extra",NA,0.46134900098213
"B404_Ngubi","ngub1239","","",NA,NA,NA,NA,NA,NA,NA,NA
"B41_Shira","sira1266","","",NA,NA,NA,NA,NA,NA,NA,0.495599656880145
"B42_Sangu_Mb","sang1333","","",NA,2,NA,NA,NA,"Extra",NA,0.48036507382282
"B42_Sangu_Mi","sang1333","","",NA,NA,NA,NA,NA,NA,NA,0.48036507382282
"B43_Punu","punu1239","","",NA,NA,NA,NA,NA,NA,NA,0.483091613444992
"B44_Lumbu","lumb1249","","",NA,NA,NA,NA,NA,NA,NA,0.4795641966759
"B501_Wanzi_E","wand1266","","",NA,2,NA,15,5,"Extra",NA,0.45375478000596
"B501_Wanzi_Mo","wand1266","","",NA,NA,NA,NA,NA,NA,NA,0.45375478000596
"B503_Vili","vili1239","","",NA,NA,NA,NA,NA,NA,NA,NA
"B51_Duma","duma1253","","",NA,NA,NA,NA,NA,NA,NA,0.470115181472929
"B51_Duma_La","duma1253","","",NA,NA,NA,NA,NA,NA,NA,0.470115181472929
"B52_Nzebi","njeb1242","","","Nzɛbi",2,34,24,8,"Phoible (ph)",1371,0.45803928594139
"B53_Tsaangi_Poungi","tsaa1242","","",NA,NA,NA,NA,NA,NA,NA,0.446353371986573
"B601_Lempini","mber1257","","",NA,NA,NA,NA,NA,NA,NA,0.517773710082157
"B602_Kaningi_Nord","kani1279","","",NA,NA,NA,NA,NA,NA,NA,0.48383819373214
"B602_Kaningi_Sud","kani1279","","",NA,NA,NA,NA,NA,NA,NA,0.48383819373214
"B62_Mbaama","omba1241","","",NA,NA,NA,NA,NA,NA,NA,0.499676091537693
"B63_Ndumu","ndum1239","","","Ndumu",2,NA,NA,NA,"ANU",775,0.497375088151653
"B701_Atsitsege","tchi1245","","",NA,NA,NA,NA,NA,NA,NA,0.449404761904762
"B71a_Teke_Dj","teke1275","","",NA,NA,NA,NA,NA,NA,NA,0.469959720610495
"B71a_Teke_Os","teke1275","","",NA,NA,NA,NA,NA,NA,NA,0.469959720610495
"B71aIb_Teke_Ibali_Congo","ibal1241","","",NA,NA,NA,NA,NA,NA,NA,0.407224892368739
"B71aLe_Teke_Leconi","ibal1241","","",NA,NA,NA,NA,NA,NA,NA,0.407224892368739
"B77b_Fumu","teke1274","","","Teke_South",0,NA,NA,NA,"ANU",2312,0.43997073078886
"B78_Wuumu","teke1274","","","Teke_South",0,NA,NA,NA,"ANU",2312,0.43997073078886
"B81_Tiene","tien1242","","",NA,NA,NA,NA,NA,NA,NA,0.475004887623577
"B82_Buma","boma1246","","",NA,NA,NA,NA,NA,NA,NA,0.467428644833359
"B84_Mbunda","mpuo1241","xd46","Ac21",NA,NA,NA,NA,NA,NA,NA,0.376508169821586
"B85_Yanzi","yans1239","xd51","Ac26","Yanzi",3,42,17,22,"Phoible (ph)",1335,0.377287760781676
"B85d_Nsongo","song1299","xd50","Ac25",NA,NA,NA,NA,NA,NA,NA,0.35779763041764
"B85e_Mput",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
"B86_Dinga","ding1239","xd47","Ac22",NA,NA,NA,NA,NA,NA,NA,0.3796620259858
"B86_Dzing","song1299","","",NA,NA,NA,NA,NA,NA,NA,0.35779763041764
"B861_Ngul","ngul1247","","",NA,NA,NA,NA,NA,NA,NA,0.414388285717739
"B862_Lwel","lwel1234","","",NA,NA,NA,NA,NA,NA,NA,NA
"B863_Pindi","song1299","","",NA,NA,NA,NA,NA,NA,NA,0.35779763041764
"B864_Ngong","ngon1267","","",NA,NA,NA,NA,NA,NA,NA,0.384328821026069
"B865_Nzadi","nzad1234","","",NA,NA,NA,NA,NA,NA,NA,0.374207276368491
"Bamun_Grassfields","bamu1253","xd172","Ae50","Shupamem",0,38,28,10,"Phoible (ph)",1009,0.446303736440337
"Bile_Jarawan","bile1244","","",NA,NA,NA,NA,NA,NA,NA,0.452054794520548
"Bwazza_Jarawan","mbul1260","","",NA,NA,NA,NA,NA,NA,NA,0.459135316418781
"C101_Babole_Dz","dibo1245","","","babole",4,31,21,6,"Phoible (ph)",1247,0.542595323734062
"C101_Babole_Ep","dibo1245","","","babole",4,31,21,6,"Phoible (ph)",1247,0.542595323734062
"C101_Babole_Ma","dibo1245","","","babole",4,31,21,6,"Phoible (ph)",1247,0.542595323734062
"C104_Aka","yaka1272","xd923, xd924","B60, B61","Yaka",3,NA,NA,NA,"ANU",2333,0.55
"C105_Mbenga","yaka1272","","","Yaka",3,NA,NA,NA,"ANU",2333,0.55
"C141_Bonyala","bong1284","","",NA,NA,NA,NA,NA,NA,NA,0.482992016660882
"C142_Mondongo","bamw1238","","",NA,NA,NA,NA,NA,NA,NA,0.497132775815086
"C15_Bongili","bong1284","","",NA,NA,NA,NA,NA,NA,NA,0.482992016660882
"C21_Ngare","mbok1243","","",NA,NA,NA,NA,NA,NA,NA,NA
"C22_Akwa","akwa1248","","","Akwa",4,NA,NA,NA,"ANU",2078,0.5
"C24_Koyo","koyo1242","","",NA,NA,NA,NA,NA,NA,NA,0.488283464566929
"C25_Mboshi","mbos1242","","",NA,2,NA,18,7,"Extra",NA,0.48275990728998
"C25A_Bunji","mbos1242","","",NA,NA,NA,NA,NA,NA,NA,0.48275990728998
"C25B_Olee","mbos1242","","",NA,NA,NA,NA,NA,NA,NA,0.48275990728998
"C25C_Ondinga","mbos1242","","",NA,NA,NA,NA,NA,NA,NA,0.48275990728998
"C25E_Eboyi","mbos1242","","",NA,NA,NA,NA,NA,NA,NA,0.48275990728998
"C302_Bolondo","bolo1263","","",NA,NA,NA,NA,NA,NA,NA,0.501022494887526
"C32_Bobangi","bang1354","","","Bobangi",2,NA,NA,NA,"ANU",749,0.514633191201478
"C322_Zamba","zamb1245","","",NA,NA,NA,NA,NA,NA,NA,NA
"C323_Mpama","mpam1239","","",NA,NA,NA,NA,NA,NA,NA,NA
"C34_Sakata","saka1287","xd49","Ac24",NA,4,NA,21,13,"Extra",NA,0.507724204301611
"C36d_Lingala","ling1263","xd147","Ae28","Lingala",0,22,15,7,"Phoible (aa)",768,0.514879010245039
"C36g_Monyongo","ndol1238","","",NA,NA,NA,NA,NA,NA,NA,0.486641221374046
"C36g_Mosange","ndol1238","","",NA,NA,NA,NA,NA,NA,NA,0.486641221374046
"C37_Ebudza","budz1238","xd157","Ae37",NA,NA,NA,NA,NA,NA,NA,0.506211462481573
"C401_Babati_1919","pagi1243","","","Pagibete; Apakabeti; Apakibeti; Apagibete;Apagibeti; Pagabete",2,51,42,7,"Phoible (ph)",1070,0.463538668201881
"C401_Pakabete","pagi1243","","","Pagibete; Apakabeti; Apakibeti; Apagibete;Apagibeti; Pagabete",2,51,42,7,"Phoible (ph)",1070,0.463538668201881
"C41_Ngombe","binj1250","xd159","Ae39",NA,NA,NA,NA,NA,NA,NA,NA
"C412_Libobi","bamw1238","","",NA,NA,NA,NA,NA,NA,NA,0.497132775815086
"C42_Ebwela","bwel1238","","",NA,NA,NA,NA,NA,NA,NA,0.518987341772152
"C43A_Baati","bwaa1238","","",NA,NA,NA,NA,NA,NA,NA,0.468789888320073
"C44_Bwa","bwaa1238","","",NA,NA,NA,NA,NA,NA,NA,0.468789888320073
"C52_Soko","sode1235","","",NA,NA,NA,NA,NA,NA,NA,0.556451612903226
"C52_Soko_1919","sode1235","","",NA,NA,NA,NA,NA,NA,NA,0.556451612903226
"C54_Turumba_1919","lomb1260","","",NA,NA,NA,NA,NA,NA,NA,0.486033519553073
"C55_Lokele","sode1235","","",NA,NA,NA,NA,NA,NA,NA,0.556451612903226
"C61_Mongo","mong1338","xd143, xd160","Ae24, Ae4, SCCS14","mongo-nkundu",4,56,45,7,"Phoible (ph)",1277,0.530418531852472
"C61E_Konda","ekon1238","xd139","Ae20",NA,NA,NA,NA,NA,NA,NA,NA
"C71_Tetela","tete1250","xd144","Ae25","Tetela",4,NA,NA,NA,"ANU",2313,0.491666666666667
"C76_Ombo","ombo1238","","","Ombo",4,NA,NA,NA,"ANU",2275,0.476439790575916
"C81_Dengese","deng1250","","",NA,NA,NA,NA,NA,NA,NA,0.508064516129032
"C83_Bushong","bush1247","xd66","Ac4","Bushong",4,NA,NA,NA,"ANU",750,0.406484132377576
"C85_Wongo","wong1247","","","Wongo",2,24,15,7,"Phoible (ph)",1340,0.420963640986524
"D11_Mbole","mbol1247","","",NA,NA,NA,NA,NA,NA,NA,0.526055471412344
"D12_Lengola","leng1258","","","Lengola",3,32,24,5,"Phoible (ph)",1338,0.550747442958301
"D13_Metoko","mitu1240","","",NA,NA,NA,NA,NA,NA,NA,0.52991452991453
"D14_Enya","enya1247","","",NA,NA,NA,NA,NA,NA,NA,0.492016387779226
"D201_Liko","lika1243","","","Lika",3,45,33,9,"Phoible (ph)",1334,0.484276729559748
"D20B_Vamba_1919","amba1263","","",NA,NA,NA,NA,NA,NA,NA,NA
"D21_Baali","bali1274","xd153","Ae33",NA,NA,NA,NA,NA,NA,NA,NA
"D211_Kango","kang1285","xd5","Aa5, B65, SCCS13",NA,NA,NA,NA,NA,NA,NA,NA
"D23_Kibira-Kumu_1919","komo1260","xd152","Ae32","Komo",4,35,24,7,"Phoible (aa)",751,0.517537471483712
"D24_Songola","song1300","xd129","Ae11",NA,NA,NA,NA,NA,NA,NA,0.499985526125344
"D25_Lega","lega1250","","",NA,NA,NA,NA,NA,NA,NA,0.492424242424242
"D28_Holoholo","holo1240","","","Holoholo",2,26,17,7,"Phoible (ph)",1389,0.490855264940484
"D301_Kare","kari1306","","",NA,NA,NA,NA,NA,NA,NA,0.510204081632653
"D304_Homa_1919","homa1239","","",NA,NA,NA,NA,NA,NA,NA,NA
"D305_Nyanga-li","nyan1303","","",NA,NA,NA,NA,NA,NA,NA,NA
"D308_Bodo2","bodo1272","","",NA,NA,NA,NA,NA,NA,NA,0.478438228438228
"D308_Ebodo","bodo1272","","",NA,NA,NA,NA,NA,NA,NA,0.478438228438228
"D311_Bila","bila1255","xd150","Ae30","bila",5,33,19,9,"Phoible (ph)",1251,0.563492063492063
"D313_Mbuttu_1919","budu1250","","","Kibudu",3,43,31,9,"Phoible (ph)",1336,0.495540691192865
"D32_Bira","bera1259","xd154","Ae34",NA,NA,NA,NA,NA,NA,NA,0.50757619238937
"D32_Bira_Bunia","bera1259","","",NA,NA,NA,NA,NA,NA,NA,0.50757619238937
"D33_Nyali","nyal1250","","",NA,NA,NA,NA,NA,NA,NA,0.501824817518248
"D331_Bvanuma","vanu1242","","",NA,NA,NA,NA,NA,NA,NA,NA
"D333_Ndaaka","ndak1241","","",NA,NA,NA,NA,NA,NA,NA,0.553846153846154
"D334_Mbo","mbod1238","","",NA,NA,NA,NA,NA,NA,NA,NA
"D43_Nyanga","nyan1304","","",NA,4,NA,16,7,"Extra",NA,0.504065040650406
"D55_Buyu","buyu1239","xd57","Ac31",NA,NA,NA,NA,NA,NA,NA,0.464912280701754
"Duguri_Jarawan","dugu1249","","",NA,NA,NA,NA,NA,NA,NA,0.388888888888889
"E46_Sonjo","temi1247","xd108","Ad39",NA,NA,NA,NA,NA,NA,NA,NA
"E51_Kikuyu","kiku1240","xd109","Ad4, SCCS11","Kikuyu",0,32,18,14,"Phoible (aa)",748,0.526832426832427
"E52_Embu","embu1241","","",NA,NA,NA,NA,NA,NA,NA,0.495626822157434
"E52_Mbeere","embu1241","","",NA,NA,NA,NA,NA,NA,NA,0.495626822157434
"E53_Igoji","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Imenti","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Meru","meru1245","xd104","Ad35","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Meruimenti","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Merutig","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Miutini","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E53_Tigania","meru1245","","","Kimeru",0,27,17,10,"Phoible (ph)",1641,0.499460625674218
"E531_Muthambi","mwim1241","","",NA,NA,NA,NA,NA,NA,NA,0.560606060606061
"E531_Mwimbi","mwim1241","","",NA,NA,NA,NA,NA,NA,NA,0.560606060606061
"E54_Tharaka","thar1283","","","Tharaka",0,NA,NA,NA,"ANU",2314,0.520711340206186
"E541_Chuka","chuk1274","","",NA,NA,NA,NA,NA,NA,NA,0.477053990610329
"E55_Kamba","kamb1297","xd103","Ad34","Kikamba",4,31,13,14,"Phoible (ph)",1443,0.522655638864504
"E55_Kamba_Kitu","kamb1297","","","Kikamba",4,31,13,14,"Phoible (ph)",1443,0.522655638864504
"E55_Kamba_Mach","kamb1297","","","Kikamba",4,31,13,14,"Phoible (ph)",1443,0.522655638864504
"E56_Daiso","dhai1238","","",NA,NA,NA,NA,NA,NA,NA,0.536912751677852
"E621B_Machame","mach1266","","","machame",3,46,33,10,"Phoible (ph)",1283,0.492677815863893
"E621C_Siha","mach1266","","","machame",3,46,33,10,"Phoible (ph)",1283,0.492677815863893
"E621D_Kibosho","mach1266","","","machame",3,46,33,10,"Phoible (ph)",1283,0.492677815863893
"E622A_Kimochi","moch1256","xd98","Ad3","Kimochi",0,25,20,5,"Phoible (ph)",1644,0.488950276243094
"E622C_Lema","vunj1238","","",NA,8,NA,35,5,"Extra",NA,0.497848620090584
"E622C_Mamba","vunj1238","","",NA,NA,NA,NA,NA,NA,NA,0.497848620090584
"E622C_Vunjo","vunj1238","","",NA,NA,NA,NA,NA,NA,NA,0.497848620090584
"E623_Mkuu","romb1244","","",NA,NA,NA,NA,NA,NA,NA,0.495854715595364
"E623A_Kiseri","romb1244","","",NA,NA,NA,NA,NA,NA,NA,0.495854715595364
"E623D_Keni","romb1244","","",NA,NA,NA,NA,NA,NA,NA,0.495854715595364
"E64_Kahe","kahe1238","","","Kikahe",0,32,22,10,"Phoible (ph)",1642,0.455882352941176
"E65_Gweno","gwen1239","","","Kigweno",0,29,24,5,"Phoible (ph)",1638,0.504203323558162
"E701_Elwana","ilwa1237","","",NA,NA,NA,NA,NA,NA,NA,0.501463811330984
"E71A_Upper_Pokomo","poko1261","xd102","Ad33",NA,0,NA,32,5,"Extra",NA,0.499275821747256
"E72a_Giryama","giry1241","xd101","Ad32","Giryama",2,47,40,5,"Phoible (ph)",1589,0.508108134178431
"E73_Digo","digo1243","xd99","Ad30","Digo",2,48,41,5,"Phoible (ph)",1587,0.509738614993698
"E74a_Dawida","tave1240","","",NA,NA,NA,NA,NA,NA,NA,0.4799515513145
"E74a_Tuveta","tave1240","","",NA,NA,NA,NA,NA,NA,NA,0.4799515513145
"F12_Bende","bend1258","xd85","Ad18",NA,NA,NA,NA,NA,NA,NA,0.48203326873385
"F21_Ntuzu","suku1261","","","Sukuma",5,57,38,14,"Phoible (ph)",1568,0.482613162874282
"F21_Sukuma","suku1261","xd90","Ad22","Sukuma",5,57,38,14,"Phoible (ph)",1568,0.482613162874282
"F22_Nyamwezi","nyam1276","","","Kinyamwezi",3,53,36,14,"Phoible (ph)",970,0.507292162391612
"F23_Sumbwa","sumb1240","xd117","Ad47","Sisumbwa",2,32,20,10,"Phoible (ph)",1639,0.456788909710825
"F24_Kimbu","kimb1242","","",NA,NA,NA,NA,NA,NA,NA,0.489130299290727
"F25_Bungu","bung1265","","",NA,NA,NA,NA,NA,NA,NA,0.484314068284657
"F31_Nyiramba","nila1242","","",NA,NA,NA,NA,NA,NA,NA,0.540098514584776
"F32_Nyaturucha","nyat1246","","","Nyaturu_Rimi",2,NA,NA,NA,"ANU",2280,0.49001369001369
"F32_Nyaturuwil","nyat1246","xd94","Ad26","Nyaturu_Rimi",2,NA,NA,NA,"ANU",2280,0.49001369001369
"F33_Langi","lang1320","xd93","Ad25","Langi",0,52,32,20,"Phoible (ph)",923,0.50210945740068
"Fefe_Grassfields","fefe1239","xd171","Ae5","Fe'efe'fe",5,44,23,16,"Phoible (aa)",710,0.418658280922432
"G11_Gogo","gogo1263","xd92","Ad24",NA,NA,NA,NA,NA,NA,NA,0.452830188679245
"G12_Kagulu","kagu1239","xd121","Ad50","Kagulu",0,31,26,5,"Phoible (ph)",1381,0.495624835106851
"G22_Asu","asut1235","xd105","Ad36","Pare",0,NA,NA,NA,"ANU",779,0.504911971789773
"G22A_North_Pare","asut1235","","","Pare",0,NA,NA,NA,"ANU",779,0.504911971789773
"G22B_South_Pare","asut1235","","","Pare",0,NA,NA,NA,"ANU",779,0.504911971789773
"G23_Sambaa","asut1235","","","Pare",0,NA,NA,NA,"ANU",779,0.504911971789773
"G24_Bondei","bond1247","","","Bondei",0,NA,NA,NA,"ANU",2109,0.51756987868099
"G31_Zigua","zigu1242","xd96","Ad28",NA,2,NA,22,5,"Extra",NA,NA
"G32_Doe","kwer1261","","",NA,NA,NA,NA,NA,NA,NA,0.501980991640902
"G32_Kwere","kwer1261","xd95","Ad27",NA,NA,NA,NA,NA,NA,NA,0.501980991640902
"G33_Zaramo","zara1247","","",NA,NA,NA,NA,NA,NA,NA,0.469514541756006
"G34_Nguungulu","ngul1246","xd122","Ad51",NA,NA,NA,NA,NA,NA,NA,0.480447039871124
"G35_Luguru","lugu1238","xd81","Ad14, SCCS10",NA,0,NA,NA,NA,"Extra",NA,0.457025761124122
"G36_Kami","kami1256","","",NA,NA,NA,NA,NA,NA,NA,0.451603549266369
"G37_Kutu","kutu1263","","",NA,NA,NA,NA,NA,NA,NA,0.476386451386451
"G39_Saghala","saga1256","","",NA,0,NA,24,5,"Extra",NA,0.459183673469388
"G401_Mwani","mwan1247","","","Kimwani",0,26,21,5,"Phoible (ph)",1448,0.481147655937054
"G41_Bajuni","swah1253","","","Swahili",0,37,32,5,"Phoible (aa)",823,0.51039048934207
"G412_Mwiini","chim1312","","",NA,NA,NA,NA,NA,NA,NA,NA
"G42_Swahili","swah1253","","","Swahili",0,37,32,5,"Phoible (aa)",823,0.51039048934207
"G42a_Amu","swah1253","","","Swahili",0,37,32,5,"Phoible (aa)",823,0.51039048934207
"G42d_Unguja","swah1253","","","Swahili",0,37,32,5,"Phoible (aa)",823,0.51039048934207
"G43_Kae","swah1253","","","Swahili",0,37,32,5,"Phoible (aa)",823,0.51039048934207
"G44a_Ngazija","ngaz1238","","","Shindazidja",2,48,41,5,"Phoible (ph)",1531,0.504201680672269
"G44b_Ndzwani","ndzw1235","","","Comorian, Ndzwani",2,39,32,5,"Phoible (ph)",1547,0.5
"G44D_Maore","maor1244","","",NA,NA,NA,NA,NA,NA,NA,0.525163983303518
"G51_Pogoro","pogo1243","","",NA,NA,NA,NA,NA,NA,NA,0.473221612749968
"G52_Ndamba","ndam1239","","","Ndamba",0,24,19,5,"Phoible (ph)",1611,0.46800782388216
"G61_Sangu","sang1330","xd91","Ad23",NA,NA,NA,NA,NA,NA,NA,0.480295566502463
"G62_Hehe","hehe1240","xd125","Ad8",NA,NA,NA,NA,NA,NA,NA,0.496770025839793
