"Name_on_tree_tip2","glottolog_id","xd_ids","soc_ids","Language","Tones","Phonemes","Consonants","Vowels","Lang.Source","InventoryID","ASJPVowelRatio"
"A11_Londo","orok1266","","","Lukundu",0,29,22,7,"Phoible (ph)",929,0.522321390996736
"A121_Mbonge","orok1266","","","Lukundu",0,29,22,7,"Phoible (ph)",929,0.522321390996736
"A122_Bakundu","orok1266","xd166","Ae45","Lukundu",0,29,22,7,"Phoible (ph)",929,0.522321390996736
"A141_Lefo","bafa1247","","","Bafo",4,47,27,16,"Phoible (ph)",926,0.444837063211622
"A15_Manenguba","mboc1235","","","Mbo (Ekanang)",2,35,19,14,"Phoible (ph)",1558,0.438923075805369
"A151_Nkongho","nkon1247","","",NA,NA,NA,NA,NA,NA,NA,0.450381679389313
"A15A_Mbuu","bafa1247","","","Bafo",4,47,27,16,"Phoible (ph)",926,0.444837063211622
"A15B_Mienge_NW_Manenguba","bass1260","","","Bassossi",2,34,20,12,"Phoible (ph)",1559,0.379032258064516
"A15C_Akossi","akoo1248","","","Akoose",2,32,18,12,"Phoible (ph)",1554,0.420667040042493
"A15C_Elung_Central_Manenguba","akoo1248","","","Akoose",2,32,18,12,"Phoible (ph)",1554,0.420667040042493
"A15C_Mkaa","baka1273","","","Bakaka (Mwaneka)",2,34,19,13,"Phoible (ph)",1555,0.415847623538826
"A22_Bakweri","mokp1239","xd138","Ae2","Mokpwe",2,31,22,7,"Phoible (ph)",1626,0.518776771806854
"A24_Duala","dual1243","xd130","Ae12","Duala",5,33,21,7,"Phoible (aa)",700,0.520806773233958
"A27_Malimba","mali1280","","",NA,NA,NA,NA,NA,NA,NA,NA
"A31_Bubi","bubi1250","","",NA,NA,NA,20,7,"Extra",NA,0.504096049738187
"A32C_Batanga","bata1285","xd168","Ae47","Banoo",3,31,20,8,"Phoible (ph)",1184,0.516339869281046
"A33a_Yasa","yasa1242","","","Yasa",0,NA,NA,NA,"ANU",2336,0.515320334261838
"A34_Benga","beng1282","","","Benga",0,NA,NA,NA,"ANU",2103,0.493773165307635
"A41_Barombi-Kang","baro1252","","",NA,NA,NA,NA,NA,NA,NA,0.420634920634921
"A42_Abo","bank1256","","","Bankon",4,37,26,7,"Phoible (ph)",1522,0.458715596330275
"A43a_Basaa","basa1284","","","Basaa",5,41,29,7,"Phoible (aa)",670,0.435759402813666
"A44_Tunen","tune1261","","","Nen",2,26,17,7,"Phoible (ph)",1265,0.441831852358168
"A45_Nyokon","nyok1243","","",NA,5,NA,22,7,"Extra",NA,0.465753424657534
"A46_Nomaande","noma1260","","","Nɔmaa",2,30,14,14,"Phoible (aa)",798,0.476473307476492
"A462_Yambeta","yamb1252","","","Yambɛta",2,28,18,8,"Phoible (aa)",843,0.409638554216867
