"","Language.in.tree","iso","Number.of.tones"
"fmp","Fefe_Grassfields","fmp",5
"mhk","Mungaka_Grassfields","mhk",3
"bax","Bamun_Grassfields","bax",0
"bkm","Kom_Grassfields","bkm",7
"oku","Oku_Grassfields","oku",4
"agq","Aghem_Grassfields","agq",2
"mgo","Moghamo_Grassfields","mgo",3
"tiv","Tiv_Tivoid","tiv",3
"bdu","A11_Londo","bdu",0
"bwt","A141_Lefo","bwt",4
"mbo","A15_Manenguba","mbo",2
"bsi","A15B_Mienge_NW_Manenguba","bsi",2
"bqz","A15C_Mkaa","bqz",2
"bri","A22_Bakweri","bri",2
"dua","A24_Duala","dua",5
"bbx","A31_Bubi","bbx",0
"bnm","A32C_Batanga","bnm",3
"abb","A42_Abo","abb",4
"bas","A43a_Basaa","bas",5
"lem","A46_Nomaande","lem",2
"yat","A462_Yambeta","yat",2
"ksf","A53_Bafia_rikpa","ksf",4
"bag","A601_Tuki","bag",4
"mmu","A62B_Mmala","mmu",2
"ekm","A62C_Libie","ekm",4
"yas","A622_Nugunu","yas",4
"eto","A71_Eton","eto",2
"ewo","A72a_Ewondo","ewo",3
"bum","A74a_Bulu","bum",5
"fan","A75a_Fang_Minvoul","fan",0
"mcp","A803_Shiwa","mcp",4
"nmg","A81_Kwasio","nmg",0
"biw","A832_Bekol","biw",4
"ozm","A841_Badwe","ozm",6
"kkj","A93_Kako","kkj",2
"mye","B11c_Galwa","mye",0
"bvx","C101_Babole_Dz","bvx",4
"lin","C36d_Lingala","lin",0
"lol","C61E_Konda","lol",4
"won","C85_Wongo","won",2
"pae","C401_Babati_1919","pae",2
"lej","D12_Lengola","lej",3
"lik","D201_Liko","lik",3
"kmw","D23_Kibira-Kumu_1919","kmw",4
"hoo","D28_Holoholo","hoo",2
"bip","D311_Bila","bip",5
"nzb","B52_Nzebi","nzb",2
"yns","B85_Yanzi","yns",3
"beq","H11_Beembe","beq",2
"hum","H42_Hunganna","hum",3
"njx","H13_Kikunyi_1989","njx",4
"kws","L13_Kwese","kws",3
"lun","L52_Lunda","lun",0
"lue","K14_Lwena","lue",4
"lyn","K31_Luyana","lyn",0
"kwn","K33_Kwangali","kwn",0
"diu","K332_Rumanyo","diu",0
"umb","R11_Umbundu","umb",0
"kua","R21_Kwanyama","kua",2
"sna","R22_Ndonga","sna",0
"run","JD62_Rundi","run",2
"han","JD65_Hangaza","han",2
"lug","JE15_Luganda","lug",4
"now","JE21_Runyambo","now",3
"hay","JE22_Haya","hay",0
"zin","JE23_Zinza","zin",0
"jit","JE25_Mkwaya","jit",2
"myx","JE31_Lumasaaba","myx",0
"bxk","JE31c_Bukusu","bxk",0
"kuj","JE43_Kuria_Tari","kuj",0
"kik","E51_Kikuyu","kik",0
"mer","E53_Merutig","mer",0
"kam","E55_Kamba","kam",4
"jmc","E621B_Machame","jmc",3
"old","E622A_Kimochi","old",0
"hka","E64_Kahe","hka",0
"gwe","E65_Gweno","gwe",0
"dig","E73_Digo","dig",2
"suk","F21_Sukuma","suk",5
"suw","F23_Sumbwa","suw",2
"lag","F33_Langi","lag",0
"kki","G12_Kagulu","kki",0
"wmw","G401_Mwani","wmw",0
"swh","G42_Swahili","swh",0
"zdj","G44a_Ngazija","zdj",2
"wni","G44b_Ndzwani","wni",2
"ndj","G52_Ndamba","ndj",0
"bez","G63_Bena","bez",2
"pbr","G64_Pangwa","pbr",0
"fip","M13_Fipa","fip",1
"ndh","M21_Ndali","ndh",4
"bem","M42_Bemba","bem",0
"mgw","P13_Matumbi","mgw",3
"yao","P21_Yao","yao",4
"kde","P25_Mabia","kde",5
"her","S16_Kalanga","her",2
"xkv","S311_Shekgalagari","xkv",2
"xho","S41_Xhosa","xho",2
"zul","S42_Zulu","zul",3
"nde","S44_Ndebele","nde",2
