Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.293000	16.692379	503	0.312127	0.009283	497	0.273642	0.293000	0.271619	
1000	0.307000	16.692379	522	0.323755	0.009283	478	0.288703	0.307000	0.272045	
1000	0.273000	16.692379	489	0.304703	0.009283	511	0.242661	0.273000	0.272056	
1000	0.278000	16.692379	499	0.306613	0.009283	501	0.249501	0.278000	0.272126	
1000	0.316000	16.692379	511	0.334638	0.009283	489	0.296524	0.316000	0.272636	
1000	0.278000	16.692379	486	0.294239	0.009283	514	0.262646	0.278000	0.272698	
1000	0.322000	16.692379	518	0.364865	0.009283	482	0.275934	0.322000	0.273258	
1000	0.277000	16.692379	489	0.302658	0.009283	511	0.252446	0.277000	0.273300	
1000	0.263000	16.692379	514	0.284047	0.009283	486	0.240741	0.263000	0.273186	
1000	0.293000	16.692379	521	0.318618	0.009283	479	0.265136	0.293000	0.273404	
1000	0.310000	16.692379	514	0.332685	0.009283	486	0.286008	0.310000	0.273801	
1000	0.296000	16.692379	504	0.329365	0.009283	496	0.262097	0.296000	0.274040	
1000	0.283000	16.692379	497	0.331992	0.009283	503	0.234592	0.283000	0.274135	
1000	0.323000	16.692379	525	0.342857	0.009283	475	0.301053	0.323000	0.274650	
1000	0.282000	16.692379	491	0.281059	0.009283	509	0.282908	0.282000	0.274726	
1000	0.279000	16.692379	514	0.309339	0.009283	486	0.246914	0.279000	0.274770	
1000	0.280000	16.692379	516	0.310078	0.009283	484	0.247934	0.280000	0.274824	
1000	0.291000	16.692379	496	0.328629	0.009283	504	0.253968	0.291000	0.274987	
1000	0.297000	16.692379	500	0.302000	0.009283	500	0.292000	0.297000	0.275207	
1000	0.280000	16.692379	513	0.274854	0.009283	487	0.285421	0.280000	0.275255	
1000	0.263000	16.692379	503	0.282306	0.009283	497	0.243461	0.263000	0.275135	
1000	0.303000	16.692379	519	0.350674	0.009283	481	0.251559	0.303000	0.275405	
1000	0.281000	16.692379	522	0.289272	0.009283	478	0.271967	0.281000	0.275459	
1000	0.324000	16.692379	528	0.320076	0.009283	472	0.328390	0.324000	0.275921	
1000	0.276000	16.692379	478	0.294979	0.009283	522	0.258621	0.276000	0.275922	
1000	0.293000	16.692379	458	0.323144	0.009283	542	0.267528	0.293000	0.276082	
1000	0.296000	16.692379	486	0.306584	0.009283	514	0.285992	0.296000	0.276266	
1000	0.307000	16.692379	482	0.300830	0.009283	518	0.312741	0.307000	0.276548	
1000	0.290000	16.692379	478	0.320084	0.009283	522	0.262452	0.290000	0.276670	
1000	0.292000	16.692379	487	0.340862	0.009283	513	0.245614	0.292000	0.276808	
1000	0.317000	16.692379	495	0.353535	0.009283	505	0.281188	0.317000	0.277167	
1000	0.303000	16.692379	497	0.356137	0.009283	503	0.250497	0.303000	0.277396	
1000	0.292000	16.692379	521	0.307102	0.009283	479	0.275574	0.292000	0.277524	
1000	0.298000	16.692379	491	0.315682	0.009283	509	0.280943	0.298000	0.277702	
1000	0.275000	16.692379	488	0.280738	0.009283	512	0.269531	0.275000	0.277679	
1000	0.301000	16.692379	516	0.329457	0.009283	484	0.270661	0.301000	0.277878	
1000	0.310000	16.692379	492	0.310976	0.009283	508	0.309055	0.310000	0.278150	
1000	0.270000	16.692379	485	0.317526	0.009283	515	0.225243	0.270000	0.278082	
1000	0.314000	16.692379	496	0.348790	0.009283	504	0.279762	0.314000	0.278381	
1000	0.279000	16.692379	526	0.307985	0.009283	474	0.246835	0.279000	0.278386	
1000	0.306000	16.692379	502	0.276892	0.009283	498	0.335341	0.306000	0.278612	
1000	0.306000	16.692379	492	0.343496	0.009283	508	0.269685	0.306000	0.278835	
1000	0.289000	16.692379	488	0.327869	0.009283	512	0.251953	0.289000	0.278917	
1000	0.291000	16.692379	504	0.315476	0.009283	496	0.266129	0.291000	0.279014	
1000	0.300000	16.692379	504	0.323413	0.009283	496	0.276210	0.300000	0.279180	
1000	0.291000	16.692379	525	0.329524	0.009283	475	0.248421	0.291000	0.279273	
1000	0.275000	16.692379	476	0.308824	0.009283	524	0.244275	0.275000	0.279240	
1000	0.294000	16.692379	472	0.313559	0.009283	528	0.276515	0.294000	0.279354	
1000	0.274000	16.692379	484	0.303719	0.009283	516	0.246124	0.274000	0.279313	
1000	0.279000	16.692379	496	0.300403	0.009283	504	0.257937	0.279000	0.279311	
1000	0.278000	16.692379	508	0.301181	0.009283	492	0.254065	0.278000	0.279301	
1000	0.303000	16.692379	490	0.320408	0.009283	510	0.286275	0.303000	0.279479	
1000	0.274000	16.692379	518	0.291506	0.009283	482	0.255187	0.274000	0.279438	
1000	0.285000	16.692379	469	0.300640	0.009283	531	0.271186	0.285000	0.279479	
1000	0.323000	16.692379	540	0.348148	0.009283	460	0.293478	0.323000	0.279799	
1000	0.292000	16.692379	510	0.325490	0.009283	490	0.257143	0.292000	0.279888	
1000	0.270000	16.692379	511	0.283757	0.009283	489	0.255624	0.270000	0.279817	
1000	0.304000	16.692379	490	0.340816	0.009283	510	0.268627	0.304000	0.279991	
1000	0.286000	16.692379	539	0.296846	0.009283	461	0.273319	0.286000	0.280034	
1000	0.325000	16.692379	508	0.358268	0.009283	492	0.290650	0.325000	0.280353	
1000	0.313000	16.692379	494	0.358300	0.009283	506	0.268775	0.313000	0.280583	
1000	0.271000	16.692379	465	0.303226	0.009283	535	0.242991	0.271000	0.280516	
1000	0.294000	16.692379	489	0.331288	0.009283	511	0.258317	0.294000	0.280609	
1000	0.305000	16.692379	491	0.319756	0.009283	509	0.290766	0.305000	0.280777	
1000	0.323000	16.692379	492	0.343496	0.009283	508	0.303150	0.323000	0.281067	
1000	0.283000	16.692379	532	0.342105	0.009283	468	0.215812	0.283000	0.281080	
1000	0.302000	16.692379	511	0.328767	0.009283	489	0.274029	0.302000	0.281221	
1000	0.291000	16.692379	491	0.311609	0.009283	509	0.271120	0.291000	0.281287	
1000	0.308000	16.692379	461	0.353579	0.009283	539	0.269017	0.308000	0.281465	
1000	0.269000	16.692379	494	0.295547	0.009283	506	0.243083	0.269000	0.281382	
1000	0.299000	16.692379	488	0.325820	0.009283	512	0.273438	0.299000	0.281498	
1000	0.308000	16.692379	510	0.335294	0.009283	490	0.279592	0.308000	0.281671	
1000	0.276000	16.692379	509	0.292731	0.009283	491	0.258656	0.276000	0.281635	
1000	0.279000	16.692379	511	0.313112	0.009283	489	0.243354	0.279000	0.281618	
1000	0.275000	16.692379	500	0.310000	0.009283	500	0.240000	0.275000	0.281575	
1000	0.283000	16.692379	480	0.304167	0.009283	520	0.263462	0.283000	0.281584	
1000	0.291000	16.692379	517	0.346228	0.009283	483	0.231884	0.291000	0.281644	
1000	0.291000	16.692379	490	0.332653	0.009283	510	0.250980	0.291000	0.281703	
1000	0.285000	16.692379	510	0.303922	0.009283	490	0.265306	0.285000	0.281723	
1000	0.284000	16.692379	484	0.295455	0.009283	516	0.273256	0.284000	0.281737	
1000	0.292000	16.692379	519	0.306358	0.009283	481	0.276507	0.292000	0.281801	
1000	0.285000	16.692379	489	0.298569	0.009283	511	0.272016	0.285000	0.281820	
1000	0.280000	16.692379	532	0.272556	0.009283	468	0.288462	0.280000	0.281809	
1000	0.292000	16.692379	490	0.320408	0.009283	510	0.264706	0.292000	0.281871	
1000	0.268000	16.692379	484	0.311983	0.009283	516	0.226744	0.268000	0.281787	
1000	0.273000	16.692379	489	0.331288	0.009283	511	0.217221	0.273000	0.281735	
1000	0.314000	16.692379	514	0.328794	0.009283	486	0.298354	0.314000	0.281927	
1000	0.289000	16.692379	486	0.325103	0.009283	514	0.254864	0.289000	0.281969	
1000	0.301000	16.692379	525	0.320000	0.009283	475	0.280000	0.301000	0.282081	
1000	0.307000	16.692379	512	0.316406	0.009283	488	0.297131	0.307000	0.282226	
1000	0.304000	16.692379	486	0.343621	0.009283	514	0.266537	0.304000	0.282353	
1000	0.286000	16.692379	478	0.307531	0.009283	522	0.266284	0.286000	0.282374	
1000	0.302000	16.692379	509	0.286837	0.009283	491	0.317719	0.302000	0.282487	
1000	0.301000	16.692379	509	0.312377	0.009283	491	0.289206	0.301000	0.282593	
1000	0.302000	16.692379	515	0.310680	0.009283	485	0.292784	0.302000	0.282703	
1000	0.319000	16.692379	489	0.349693	0.009283	511	0.289628	0.319000	0.282908	
1000	0.317000	16.692379	526	0.311787	0.009283	474	0.322785	0.317000	0.283100	
1000	0.292000	16.692379	490	0.316327	0.009283	510	0.268627	0.292000	0.283149	
1000	0.315000	16.692379	473	0.346723	0.009283	527	0.286528	0.315000	0.283326	
1000	0.283000	16.692379	519	0.287091	0.009283	481	0.278586	0.283000	0.283324	
1000	0.283000	16.692379	488	0.307377	0.009283	512	0.259766	0.283000	0.283323	
1000	0.302000	16.692379	515	0.306796	0.009283	485	0.296907	0.302000	0.283425	
1000	0.288000	16.692379	509	0.290766	0.009283	491	0.285132	0.288000	0.283450	
1000	0.277000	16.692379	489	0.290389	0.009283	511	0.264188	0.277000	0.283415	
1000	0.299000	16.692379	508	0.318898	0.009283	492	0.278455	0.299000	0.283498	
1000	0.295000	16.692379	483	0.298137	0.009283	517	0.292070	0.295000	0.283560	
1000	0.275000	16.692379	497	0.301811	0.009283	503	0.248509	0.275000	0.283514	
1000	0.299000	16.692379	513	0.313840	0.009283	487	0.283368	0.299000	0.283596	
1000	0.302000	16.692379	487	0.367556	0.009283	513	0.239766	0.302000	0.283693	
1000	0.316000	16.692379	522	0.331418	0.009283	478	0.299163	0.316000	0.283862	
1000	0.302000	16.692379	464	0.338362	0.009283	536	0.270522	0.302000	0.283957	
1000	0.284000	16.692379	489	0.359918	0.009283	511	0.211350	0.284000	0.283957	
1000	0.269000	16.692379	508	0.289370	0.009283	492	0.247967	0.269000	0.283880	
1000	0.310000	16.692379	516	0.348837	0.009283	484	0.268595	0.310000	0.284014	
1000	0.275000	16.692379	502	0.320717	0.009283	498	0.228916	0.275000	0.283968	
1000	0.279000	16.692379	505	0.299010	0.009283	495	0.258586	0.279000	0.283943	
1000	0.276000	16.692379	521	0.303263	0.009283	479	0.246347	0.276000	0.283903	
1000	0.293000	16.692379	521	0.335893	0.009283	479	0.246347	0.293000	0.283948	
1000	0.283000	16.692379	502	0.328685	0.009283	498	0.236948	0.283000	0.283944	
1000	0.291000	16.692379	494	0.321862	0.009283	506	0.260870	0.291000	0.283979	
1000	0.302000	16.692379	511	0.315068	0.009283	489	0.288344	0.302000	0.284068	
1000	0.329000	16.692379	515	0.347573	0.009283	485	0.309278	0.329000	0.284289	
1000	0.281000	16.692379	497	0.283702	0.009283	503	0.278330	0.281000	0.284273	
1000	0.288000	16.692379	495	0.317172	0.009283	505	0.259406	0.288000	0.284291	
1000	0.250000	16.692379	523	0.254302	0.009283	477	0.245283	0.250000	0.284125	
1000	0.305000	16.692379	484	0.309917	0.009283	516	0.300388	0.305000	0.284226	
1000	0.300000	16.692379	483	0.310559	0.009283	517	0.290135	0.300000	0.284302	
1000	0.286000	16.692379	485	0.303093	0.009283	515	0.269903	0.286000	0.284310	
1000	0.307000	16.692379	493	0.334686	0.009283	507	0.280079	0.307000	0.284418	
1000	0.302000	16.692379	537	0.324022	0.009283	463	0.276458	0.302000	0.284501	
1000	0.295000	16.692379	491	0.291242	0.009283	509	0.298625	0.295000	0.284551	
1000	0.258000	16.692379	493	0.271805	0.009283	507	0.244576	0.258000	0.284426	
1000	0.320000	16.692379	475	0.345263	0.009283	525	0.297143	0.320000	0.284592	
1000	0.295000	16.692379	510	0.333333	0.009283	490	0.255102	0.295000	0.284641	
1000	0.283000	16.692379	490	0.318367	0.009283	510	0.249020	0.283000	0.284633	
1000	0.282000	16.692379	514	0.315175	0.009283	486	0.246914	0.282000	0.284621	
1000	0.271000	16.692379	498	0.283133	0.009283	502	0.258964	0.271000	0.284558	
1000	0.297000	16.692379	498	0.337349	0.009283	502	0.256972	0.297000	0.284615	
