Rate	100.00
Rate Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.289000	19.439550	498	0.281124	0.008733	502	0.296813	0.289000	0.314301	
1000	0.264000	19.439550	497	0.255533	0.008733	503	0.272366	0.264000	0.313695	
1000	0.247000	19.439550	500	0.248000	0.008733	500	0.246000	0.247000	0.312901	
1000	0.257000	19.439550	503	0.282306	0.008733	497	0.231388	0.257000	0.312243	
1000	0.287000	19.439550	516	0.294574	0.008733	484	0.278926	0.287000	0.311950	
1000	0.276000	19.439550	501	0.271457	0.008733	499	0.280561	0.276000	0.311537	
1000	0.271000	19.439550	507	0.268245	0.008733	493	0.273834	0.271000	0.311076	
1000	0.280000	19.439550	517	0.255319	0.008733	483	0.306418	0.280000	0.310727	
1000	0.302000	19.439550	524	0.305344	0.008733	476	0.298319	0.302000	0.310630	
1000	0.265000	19.439550	516	0.251938	0.008733	484	0.278926	0.265000	0.310128	
1000	0.270000	19.439550	488	0.268443	0.008733	512	0.271484	0.270000	0.309692	
1000	0.277000	19.439550	501	0.273453	0.008733	499	0.280561	0.277000	0.309341	
1000	0.270000	19.439550	517	0.278530	0.008733	483	0.260870	0.270000	0.308922	
1000	0.244000	19.439550	513	0.224172	0.008733	487	0.264887	0.244000	0.308239	
1000	0.276000	19.439550	493	0.269777	0.008733	507	0.282051	0.276000	0.307903	
1000	0.285000	19.439550	484	0.301653	0.008733	516	0.269380	0.285000	0.307667	
1000	0.292000	19.439550	500	0.270000	0.008733	500	0.314000	0.292000	0.307507	
1000	0.277000	19.439550	517	0.288201	0.008733	483	0.265010	0.277000	0.307199	
1000	0.268000	19.439550	496	0.286290	0.008733	504	0.250000	0.268000	0.306807	
1000	0.305000	19.439550	471	0.288747	0.008733	529	0.319471	0.305000	0.306789	
1000	0.275000	19.439550	504	0.269841	0.008733	496	0.280242	0.275000	0.306477	
1000	0.274000	19.439550	504	0.259921	0.008733	496	0.288306	0.274000	0.306162	
1000	0.282000	19.439550	507	0.264300	0.008733	493	0.300203	0.282000	0.305930	
1000	0.277000	19.439550	486	0.290123	0.008733	514	0.264591	0.277000	0.305654	
1000	0.296000	19.439550	504	0.307540	0.008733	496	0.284274	0.296000	0.305563	
1000	0.294000	19.439550	500	0.298000	0.008733	500	0.290000	0.294000	0.305455	
1000	0.328000	19.439550	541	0.323475	0.008733	459	0.333333	0.328000	0.305664	
1000	0.278000	19.439550	534	0.269663	0.008733	466	0.287554	0.278000	0.305410	
1000	0.263000	19.439550	490	0.269388	0.008733	510	0.256863	0.263000	0.305024	
1000	0.287000	19.439550	515	0.240777	0.008733	485	0.336082	0.287000	0.304862	
1000	0.303000	19.439550	486	0.302469	0.008733	514	0.303502	0.303000	0.304845	
1000	0.297000	19.439550	504	0.285714	0.008733	496	0.308468	0.297000	0.304776	
1000	0.280000	19.439550	450	0.257778	0.008733	550	0.298182	0.280000	0.304559	
1000	0.296000	19.439550	504	0.289683	0.008733	496	0.302419	0.296000	0.304484	
1000	0.260000	19.439550	508	0.240157	0.008733	492	0.280488	0.260000	0.304101	
1000	0.265000	19.439550	501	0.249501	0.008733	499	0.280561	0.265000	0.303767	
1000	0.276000	19.439550	489	0.255624	0.008733	511	0.295499	0.276000	0.303531	
1000	0.311000	19.439550	520	0.298077	0.008733	480	0.325000	0.311000	0.303594	
1000	0.281000	19.439550	486	0.269547	0.008733	514	0.291829	0.281000	0.303406	
1000	0.269000	19.439550	504	0.242063	0.008733	496	0.296371	0.269000	0.303121	
1000	0.264000	19.439550	510	0.258824	0.008733	490	0.269388	0.264000	0.302801	
1000	0.248000	19.439550	511	0.244618	0.008733	489	0.251534	0.248000	0.302355	
1000	0.282000	19.439550	488	0.272541	0.008733	512	0.291016	0.282000	0.302191	
1000	0.276000	19.439550	489	0.269939	0.008733	511	0.281800	0.276000	0.301982	
1000	0.283000	19.439550	489	0.284254	0.008733	511	0.281800	0.283000	0.301831	
1000	0.279000	19.439550	489	0.233129	0.008733	511	0.322896	0.279000	0.301651	
1000	0.273000	19.439550	501	0.275449	0.008733	499	0.270541	0.273000	0.301427	
1000	0.305000	19.439550	502	0.288845	0.008733	498	0.321285	0.305000	0.301455	
1000	0.282000	19.439550	501	0.283433	0.008733	499	0.280561	0.282000	0.301305	
1000	0.264000	19.439550	493	0.233266	0.008733	507	0.293886	0.264000	0.301021	
1000	0.305000	19.439550	520	0.300000	0.008733	480	0.310417	0.305000	0.301051	
1000	0.260000	19.439550	491	0.266802	0.008733	509	0.253438	0.260000	0.300742	
1000	0.298000	19.439550	496	0.282258	0.008733	504	0.313492	0.298000	0.300722	
1000	0.266000	19.439550	468	0.271368	0.008733	532	0.261278	0.266000	0.300464	
1000	0.271000	19.439550	523	0.250478	0.008733	477	0.293501	0.271000	0.300248	
1000	0.296000	19.439550	517	0.292070	0.008733	483	0.300207	0.296000	0.300217	
1000	0.271000	19.439550	511	0.248532	0.008733	489	0.294479	0.271000	0.300005	
1000	0.257000	19.439550	520	0.240385	0.008733	480	0.275000	0.257000	0.299696	
1000	0.278000	19.439550	532	0.246241	0.008733	468	0.314103	0.278000	0.299541	
1000	0.293000	19.439550	508	0.285433	0.008733	492	0.300813	0.293000	0.299494	
1000	0.278000	19.439550	494	0.273279	0.008733	506	0.282609	0.278000	0.299343	
1000	0.285000	19.439550	502	0.318725	0.008733	498	0.251004	0.285000	0.299243	
1000	0.271000	19.439550	506	0.282609	0.008733	494	0.259109	0.271000	0.299047	
1000	0.277000	19.439550	516	0.255814	0.008733	484	0.299587	0.277000	0.298894	
1000	0.272000	19.439550	492	0.280488	0.008733	508	0.263780	0.272000	0.298710	
1000	0.278000	19.439550	508	0.269685	0.008733	492	0.286585	0.278000	0.298569	
1000	0.307000	19.439550	527	0.292220	0.008733	473	0.323467	0.307000	0.298626	
1000	0.252000	19.439550	458	0.233624	0.008733	542	0.267528	0.252000	0.298313	
1000	0.278000	19.439550	512	0.259766	0.008733	488	0.297131	0.278000	0.298178	
1000	0.289000	19.439550	481	0.268191	0.008733	519	0.308285	0.289000	0.298117	
1000	0.273000	19.439550	494	0.248988	0.008733	506	0.296443	0.273000	0.297952	
1000	0.242000	19.439550	500	0.248000	0.008733	500	0.236000	0.242000	0.297586	
1000	0.274000	19.439550	489	0.276074	0.008733	511	0.272016	0.274000	0.297433	
1000	0.269000	19.439550	510	0.280392	0.008733	490	0.257143	0.269000	0.297250	
1000	0.265000	19.439550	504	0.273810	0.008733	496	0.256048	0.265000	0.297043	
1000	0.278000	19.439550	507	0.266272	0.008733	493	0.290061	0.278000	0.296922	
1000	0.279000	19.439550	453	0.278146	0.008733	547	0.279707	0.279000	0.296808	
1000	0.281000	19.439550	505	0.271287	0.008733	495	0.290909	0.281000	0.296709	
1000	0.266000	19.439550	479	0.246347	0.008733	521	0.284069	0.266000	0.296517	
1000	0.295000	19.439550	489	0.286299	0.008733	511	0.303327	0.295000	0.296507	
1000	0.287000	19.439550	482	0.282158	0.008733	518	0.291506	0.287000	0.296449	
1000	0.283000	19.439550	535	0.252336	0.008733	465	0.318280	0.283000	0.296366	
1000	0.264000	19.439550	491	0.258656	0.008733	509	0.269155	0.264000	0.296169	
1000	0.270000	19.439550	521	0.268714	0.008733	479	0.271399	0.270000	0.296010	
1000	0.282000	19.439550	507	0.268245	0.008733	493	0.296146	0.282000	0.295926	
1000	0.280000	19.439550	483	0.283644	0.008733	517	0.276596	0.280000	0.295831	
1000	0.266000	19.439550	492	0.243902	0.008733	508	0.287402	0.266000	0.295653	
1000	0.285000	19.439550	511	0.262231	0.008733	489	0.308793	0.285000	0.295590	
1000	0.304000	19.439550	504	0.293651	0.008733	496	0.314516	0.304000	0.295639	
1000	0.304000	19.439550	504	0.329365	0.008733	496	0.278226	0.304000	0.295688	
1000	0.277000	19.439550	514	0.264591	0.008733	486	0.290123	0.277000	0.295580	
1000	0.259000	19.439550	498	0.257028	0.008733	502	0.260956	0.259000	0.295368	
1000	0.261000	19.439550	497	0.251509	0.008733	503	0.270378	0.261000	0.295171	
1000	0.268000	19.439550	505	0.261386	0.008733	495	0.274747	0.268000	0.295015	
1000	0.261000	19.439550	502	0.264940	0.008733	498	0.257028	0.261000	0.294822	
1000	0.257000	19.439550	499	0.254509	0.008733	501	0.259481	0.257000	0.294609	
1000	0.267000	19.439550	484	0.260331	0.008733	516	0.273256	0.267000	0.294453	
1000	0.298000	19.439550	513	0.261209	0.008733	487	0.336756	0.298000	0.294473	
1000	0.273000	19.439550	525	0.272381	0.008733	475	0.273684	0.273000	0.294354	
1000	0.284000	19.439550	496	0.278226	0.008733	504	0.289683	0.284000	0.294297	
1000	0.285000	19.439550	500	0.262000	0.008733	500	0.308000	0.285000	0.294246	
1000	0.273000	19.439550	511	0.277886	0.008733	489	0.267894	0.273000	0.294130	
1000	0.277000	19.439550	483	0.293996	0.008733	517	0.261122	0.277000	0.294036	
1000	0.296000	19.439550	513	0.269006	0.008733	487	0.324435	0.296000	0.294047	
1000	0.267000	19.439550	492	0.280488	0.008733	508	0.253937	0.267000	0.293902	
1000	0.306000	19.439550	519	0.298651	0.008733	481	0.313929	0.306000	0.293966	
1000	0.264000	19.439550	497	0.275654	0.008733	503	0.252485	0.264000	0.293807	
1000	0.290000	19.439550	503	0.260437	0.008733	497	0.319920	0.290000	0.293787	
1000	0.264000	19.439550	507	0.285996	0.008733	493	0.241379	0.264000	0.293630	
1000	0.263000	19.439550	500	0.256000	0.008733	500	0.270000	0.263000	0.293470	
1000	0.282000	19.439550	496	0.250000	0.008733	504	0.313492	0.282000	0.293410	
1000	0.292000	19.439550	496	0.308468	0.008733	504	0.275794	0.292000	0.293403	
1000	0.287000	19.439550	477	0.270440	0.008733	523	0.302103	0.287000	0.293370	
1000	0.300000	19.439550	484	0.264463	0.008733	516	0.333333	0.300000	0.293404	
1000	0.287000	19.439550	506	0.276680	0.008733	494	0.297571	0.287000	0.293371	
1000	0.288000	19.439550	497	0.265594	0.008733	503	0.310139	0.288000	0.293344	
1000	0.263000	19.439550	511	0.266145	0.008733	489	0.259714	0.263000	0.293190	
1000	0.264000	19.439550	517	0.228240	0.008733	483	0.302277	0.264000	0.293044	
1000	0.277000	19.439550	485	0.245361	0.008733	515	0.306796	0.277000	0.292964	
1000	0.289000	19.439550	510	0.268627	0.008733	490	0.310204	0.289000	0.292944	
1000	0.287000	19.439550	510	0.278431	0.008733	490	0.295918	0.287000	0.292914	
1000	0.290000	19.439550	518	0.277992	0.008733	482	0.302905	0.290000	0.292900	
1000	0.267000	19.439550	496	0.219758	0.008733	504	0.313492	0.267000	0.292773	
1000	0.273000	19.439550	530	0.258491	0.008733	470	0.289362	0.273000	0.292677	
1000	0.255000	19.439550	510	0.245098	0.008733	490	0.265306	0.255000	0.292494	
1000	0.271000	19.439550	488	0.243852	0.008733	512	0.296875	0.271000	0.292390	
1000	0.284000	19.439550	511	0.268102	0.008733	489	0.300613	0.284000	0.292350	
1000	0.289000	19.439550	522	0.272031	0.008733	478	0.307531	0.289000	0.292334	
1000	0.277000	19.439550	499	0.272545	0.008733	501	0.281437	0.277000	0.292261	
1000	0.283000	19.439550	509	0.284872	0.008733	491	0.281059	0.283000	0.292217	
1000	0.276000	19.439550	492	0.268293	0.008733	508	0.283465	0.276000	0.292140	
1000	0.295000	19.439550	499	0.292585	0.008733	501	0.297405	0.295000	0.292154	
1000	0.287000	19.439550	478	0.282427	0.008733	522	0.291188	0.287000	0.292129	
1000	0.264000	19.439550	519	0.246628	0.008733	481	0.282744	0.264000	0.291999	
1000	0.292000	19.439550	490	0.297959	0.008733	510	0.286275	0.292000	0.291999	
1000	0.289000	19.439550	490	0.255102	0.008733	510	0.321569	0.289000	0.291985	
1000	0.270000	19.439550	481	0.295218	0.008733	519	0.246628	0.270000	0.291884	
1000	0.289000	19.439550	498	0.267068	0.008733	502	0.310757	0.289000	0.291871	
1000	0.264000	19.439550	502	0.260956	0.008733	498	0.267068	0.264000	0.291744	
1000	0.292000	19.439550	507	0.272189	0.008733	493	0.312373	0.292000	0.291745	
1000	0.261000	19.439550	467	0.244111	0.008733	533	0.275797	0.261000	0.291607	
1000	0.272000	19.439550	540	0.257407	0.008733	460	0.289130	0.272000	0.291519	
1000	0.294000	19.439550	528	0.276515	0.008733	472	0.313559	0.294000	0.291530	
1000	0.279000	19.439550	490	0.287755	0.008733	510	0.270588	0.279000	0.291474	
1000	0.287000	19.439550	507	0.287968	0.008733	493	0.286004	0.287000	0.291454	
1000	0.273000	19.439550	504	0.277778	0.008733	496	0.268145	0.273000	0.291373	
1000	0.270000	19.439550	549	0.255009	0.008733	451	0.288248	0.270000	0.291279	
1000	0.284000	19.439550	487	0.260780	0.008733	513	0.306043	0.284000	0.291248	
1000	0.287000	19.439550	505	0.304950	0.008733	495	0.268687	0.287000	0.291229	
1000	0.272000	19.439550	468	0.284188	0.008733	532	0.261278	0.272000	0.291146	
1000	0.281000	19.439550	473	0.266385	0.008733	527	0.294118	0.281000	0.291102	
1000	0.309000	19.439550	521	0.282150	0.008733	479	0.338205	0.309000	0.291179	
1000	0.302000	19.439550	503	0.304175	0.008733	497	0.299799	0.302000	0.291225	
1000	0.269000	19.439550	457	0.291028	0.008733	543	0.250460	0.269000	0.291131	
1000	0.276000	19.439550	515	0.279612	0.008733	485	0.272165	0.276000	0.291067	
1000	0.258000	19.439550	472	0.264831	0.008733	528	0.251894	0.258000	0.290927	
1000	0.236000	19.439550	497	0.231388	0.008733	503	0.240557	0.236000	0.290696	
1000	0.269000	19.439550	537	0.271881	0.008733	463	0.265659	0.269000	0.290605	
1000	0.292000	19.439550	470	0.287234	0.008733	530	0.296226	0.292000	0.290611	
1000	0.276000	19.439550	519	0.267823	0.008733	481	0.284823	0.276000	0.290551	
1000	0.268000	19.439550	504	0.259921	0.008733	496	0.276210	0.268000	0.290457	
1000	0.296000	19.439550	486	0.292181	0.008733	514	0.299611	0.296000	0.290480	
1000	0.285000	19.439550	500	0.272000	0.008733	500	0.298000	0.285000	0.290458	
1000	0.262000	19.439550	513	0.228070	0.008733	487	0.297741	0.262000	0.290342	
1000	0.289000	19.439550	512	0.257812	0.008733	488	0.321721	0.289000	0.290336	
1000	0.260000	19.439550	483	0.231884	0.008733	517	0.286267	0.260000	0.290213	
1000	0.283000	19.439550	486	0.257202	0.008733	514	0.307393	0.283000	0.290184	
1000	0.273000	19.439550	549	0.287796	0.008733	451	0.254989	0.273000	0.290115	
1000	0.281000	19.439550	513	0.269006	0.008733	487	0.293634	0.281000	0.290079	
1000	0.252000	19.439550	515	0.227184	0.008733	485	0.278351	0.252000	0.289927	
1000	0.274000	19.439550	493	0.271805	0.008733	507	0.276134	0.274000	0.289864	
1000	0.265000	19.439550	479	0.271399	0.008733	521	0.259117	0.265000	0.289766	
1000	0.271000	19.439550	470	0.276596	0.008733	530	0.266038	0.271000	0.289692	
1000	0.294000	19.439550	491	0.281059	0.008733	509	0.306483	0.294000	0.289709	
1000	0.290000	19.439550	502	0.310757	0.008733	498	0.269076	0.290000	0.289710	
1000	0.280000	19.439550	502	0.268924	0.008733	498	0.291165	0.280000	0.289672	
1000	0.266000	19.439550	500	0.244000	0.008733	500	0.288000	0.266000	0.289580	
1000	0.249000	19.439550	525	0.253333	0.008733	475	0.244211	0.249000	0.289424	
1000	0.271000	19.439550	494	0.283401	0.008733	506	0.258893	0.271000	0.289353	
1000	0.273000	19.439550	493	0.239351	0.008733	507	0.305720	0.273000	0.289290	
1000	0.265000	19.439550	455	0.248352	0.008733	545	0.278899	0.265000	0.289197	
1000	0.280000	19.439550	512	0.302734	0.008733	488	0.256148	0.280000	0.289162	
1000	0.294000	19.439550	488	0.286885	0.008733	512	0.300781	0.294000	0.289181	
1000	0.283000	19.439550	485	0.274227	0.008733	515	0.291262	0.283000	0.289157	
1000	0.298000	19.439550	497	0.305835	0.008733	503	0.290258	0.298000	0.289191	
1000	0.278000	19.439550	512	0.285156	0.008733	488	0.270492	0.278000	0.289149	
1000	0.290000	19.439550	497	0.257545	0.008733	503	0.322068	0.290000	0.289152	
1000	0.250000	19.439550	503	0.246521	0.008733	497	0.253521	0.250000	0.289006	
1000	0.282000	19.439550	527	0.278937	0.008733	473	0.285412	0.282000	0.288980	
1000	0.255000	19.439550	490	0.273469	0.008733	510	0.237255	0.255000	0.288855	
1000	0.263000	19.439550	497	0.263581	0.008733	503	0.262425	0.263000	0.288760	
1000	0.287000	19.439550	516	0.275194	0.008733	484	0.299587	0.287000	0.288754	
1000	0.278000	19.439550	478	0.269874	0.008733	522	0.285441	0.278000	0.288714	
1000	0.274000	19.439550	501	0.255489	0.008733	499	0.292585	0.274000	0.288661	
1000	0.269000	19.439550	487	0.266940	0.008733	513	0.270955	0.269000	0.288590	
1000	0.265000	19.439550	506	0.266798	0.008733	494	0.263158	0.265000	0.288504	
1000	0.304000	19.439550	508	0.314961	0.008733	492	0.292683	0.304000	0.288560	
1000	0.266000	19.439550	500	0.244000	0.008733	500	0.288000	0.266000	0.288479	
1000	0.283000	19.439550	507	0.260355	0.008733	493	0.306288	0.283000	0.288460	
1000	0.286000	19.439550	468	0.230769	0.008733	532	0.334586	0.286000	0.288451	
1000	0.277000	19.439550	507	0.280079	0.008733	493	0.273834	0.277000	0.288410	
1000	0.265000	19.439550	495	0.238384	0.008733	505	0.291089	0.265000	0.288328	
1000	0.290000	19.439550	487	0.293634	0.008733	513	0.286550	0.290000	0.288333	
1000	0.283000	19.439550	484	0.254132	0.008733	516	0.310078	0.283000	0.288315	
1000	0.263000	19.439550	521	0.274472	0.008733	479	0.250522	0.263000	0.288226	
1000	0.277000	19.439550	527	0.280835	0.008733	473	0.272727	0.277000	0.288187	
1000	0.318000	19.439550	502	0.346614	0.008733	498	0.289157	0.318000	0.288291	
