Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Alpha Trait 2 - Dev	Alpha Trait 2 - Tried	Alpha Trait 2 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.273000	0.125771	522	0.250958	0.000027	478	0.297071	0.273000	0.165448	
1000	0.258000	0.125771	496	0.258065	0.000027	504	0.257937	0.258000	0.167228	
1000	0.248000	0.125771	487	0.238193	0.000027	513	0.257310	0.248000	0.168752	
1000	0.279000	0.125771	506	0.268775	0.000027	494	0.289474	0.279000	0.170793	
1000	0.276000	0.125771	487	0.252567	0.000027	513	0.298246	0.276000	0.172706	
1000	0.253000	0.125771	524	0.248092	0.000027	476	0.258403	0.253000	0.174140	
1000	0.276000	0.125771	501	0.277445	0.000027	499	0.274549	0.276000	0.175927	
1000	0.265000	0.125771	516	0.248062	0.000027	484	0.283058	0.265000	0.177462	
1000	0.282000	0.125771	498	0.265060	0.000027	502	0.298805	0.282000	0.179234	
1000	0.267000	0.125771	512	0.251953	0.000027	488	0.282787	0.267000	0.180697	
1000	0.269000	0.125771	518	0.260618	0.000027	482	0.278008	0.269000	0.182145	
1000	0.280000	0.125771	497	0.263581	0.000027	503	0.296223	0.280000	0.183723	
1000	0.268000	0.125771	501	0.251497	0.000027	499	0.284569	0.268000	0.185061	
1000	0.252000	0.125771	480	0.237500	0.000027	520	0.265385	0.252000	0.186106	
1000	0.269000	0.125771	490	0.271429	0.000027	510	0.266667	0.269000	0.187382	
1000	0.267000	0.125771	506	0.294466	0.000027	494	0.238866	0.267000	0.188588	
1000	0.248000	0.125771	474	0.238397	0.000027	526	0.256654	0.248000	0.189475	
1000	0.264000	0.125771	529	0.266541	0.000027	471	0.261146	0.264000	0.190571	
1000	0.272000	0.125771	512	0.294922	0.000027	488	0.247951	0.272000	0.191751	
1000	0.249000	0.125771	500	0.264000	0.000027	500	0.234000	0.249000	0.192569	
1000	0.273000	0.125771	508	0.283465	0.000027	492	0.262195	0.273000	0.193701	
1000	0.261000	0.125771	513	0.239766	0.000027	487	0.283368	0.261000	0.194636	
1000	0.255000	0.125771	508	0.220472	0.000027	492	0.290650	0.255000	0.195463	
1000	0.288000	0.125771	478	0.297071	0.000027	522	0.279693	0.288000	0.196714	
1000	0.254000	0.125771	520	0.251923	0.000027	480	0.256250	0.254000	0.197477	
1000	0.270000	0.125771	500	0.258000	0.000027	500	0.282000	0.270000	0.198432	
1000	0.263000	0.125771	505	0.267327	0.000027	495	0.258586	0.263000	0.199270	
1000	0.256000	0.125771	506	0.256917	0.000027	494	0.255061	0.256000	0.199997	
1000	0.250000	0.125771	509	0.245580	0.000027	491	0.254582	0.250000	0.200630	
1000	0.281000	0.125771	489	0.267894	0.000027	511	0.293542	0.281000	0.201635	
