Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.265000	0.886178	1000	0.265000	0.265000	0.125080	
1000	0.265000	0.886178	1000	0.265000	0.265000	0.136739	
1000	0.261000	0.886178	1000	0.261000	0.261000	0.146296	
1000	0.274000	0.886178	1000	0.274000	0.274000	0.155417	
1000	0.301000	0.886178	1000	0.301000	0.301000	0.165122	
1000	0.291000	0.886178	1000	0.291000	0.291000	0.172989	
1000	0.286000	0.886178	1000	0.286000	0.286000	0.179636	
1000	0.307000	0.886178	1000	0.307000	0.307000	0.186712	
1000	0.279000	0.886178	1000	0.279000	0.279000	0.191569	
1000	0.232000	0.886178	1000	0.232000	0.232000	0.193590	
1000	0.269000	0.886178	1000	0.269000	0.269000	0.197181	
1000	0.317000	0.886178	1000	0.317000	0.317000	0.202627	
1000	0.315000	0.886178	1000	0.315000	0.315000	0.207513	
1000	0.299000	0.886178	1000	0.299000	0.299000	0.211325	
1000	0.312000	0.886178	1000	0.312000	0.312000	0.215351	
1000	0.299000	0.886178	1000	0.299000	0.299000	0.218569	
1000	0.301000	0.886178	1000	0.301000	0.301000	0.221621	
1000	0.318000	0.886178	1000	0.318000	0.318000	0.225063	
1000	0.310000	0.886178	1000	0.310000	0.310000	0.227992	
1000	0.271000	0.886178	1000	0.271000	0.271000	0.229426	
1000	0.276000	0.886178	1000	0.276000	0.276000	0.230928	
1000	0.304000	0.886178	1000	0.304000	0.304000	0.233211	
1000	0.279000	0.886178	1000	0.279000	0.279000	0.234599	
1000	0.303000	0.886178	1000	0.303000	0.303000	0.236611	
1000	0.275000	0.886178	1000	0.275000	0.275000	0.237707	
1000	0.305000	0.886178	1000	0.305000	0.305000	0.239577	
1000	0.307000	0.886178	1000	0.307000	0.307000	0.241399	
1000	0.284000	0.886178	1000	0.284000	0.284000	0.242520	
1000	0.261000	0.886178	1000	0.261000	0.261000	0.242994	
1000	0.284000	0.886178	1000	0.284000	0.284000	0.244019	
1000	0.299000	0.886178	1000	0.299000	0.299000	0.245360	
1000	0.280000	0.886178	1000	0.280000	0.280000	0.246185	
1000	0.256000	0.886178	1000	0.256000	0.256000	0.246413	
1000	0.293000	0.886178	1000	0.293000	0.293000	0.247472	
1000	0.304000	0.886178	1000	0.304000	0.304000	0.248728	
1000	0.319000	0.886178	1000	0.319000	0.319000	0.250255	
