Rate	100.00
Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.324000	0.983538	1000	0.324000	0.324000	0.229706	
1000	0.304000	0.983538	1000	0.304000	0.304000	0.235897	
1000	0.324000	0.983538	1000	0.324000	0.324000	0.242674	
1000	0.309000	0.983538	1000	0.309000	0.309000	0.247411	
1000	0.306000	0.983538	1000	0.306000	0.306000	0.251317	
1000	0.299000	0.983538	1000	0.299000	0.299000	0.254297	
1000	0.298000	0.983538	1000	0.298000	0.298000	0.256867	
1000	0.303000	0.983538	1000	0.303000	0.303000	0.259430	
1000	0.314000	0.983538	1000	0.314000	0.314000	0.262302	
1000	0.315000	0.983538	1000	0.315000	0.315000	0.264937	
1000	0.312000	0.983538	1000	0.312000	0.312000	0.267178	
1000	0.344000	0.983538	1000	0.344000	0.344000	0.270670	
1000	0.314000	0.983538	1000	0.314000	0.314000	0.272553	
1000	0.336000	0.983538	1000	0.336000	0.336000	0.275197	
1000	0.330000	0.983538	1000	0.330000	0.330000	0.277389	
1000	0.292000	0.983538	1000	0.292000	0.292000	0.277951	
1000	0.335000	0.983538	1000	0.335000	0.335000	0.280064	
1000	0.315000	0.983538	1000	0.315000	0.315000	0.281311	
1000	0.308000	0.983538	1000	0.308000	0.308000	0.282232	
1000	0.303000	0.983538	1000	0.303000	0.303000	0.282924	
1000	0.313000	0.983538	1000	0.313000	0.313000	0.283894	
1000	0.301000	0.983538	1000	0.301000	0.301000	0.284429	
1000	0.277000	0.983538	1000	0.277000	0.277000	0.284204	
1000	0.313000	0.983538	1000	0.313000	0.313000	0.285050	
1000	0.332000	0.983538	1000	0.332000	0.332000	0.286392	
1000	0.343000	0.983538	1000	0.343000	0.343000	0.287964	
1000	0.313000	0.983538	1000	0.313000	0.313000	0.288641	
1000	0.308000	0.983538	1000	0.308000	0.308000	0.289150	
1000	0.346000	0.983538	1000	0.346000	0.346000	0.290608	
1000	0.338000	0.983538	1000	0.338000	0.338000	0.291793	
1000	0.311000	0.983538	1000	0.311000	0.311000	0.292261	
1000	0.289000	0.983538	1000	0.289000	0.289000	0.292184	
1000	0.306000	0.983538	1000	0.306000	0.306000	0.292505	
1000	0.304000	0.983538	1000	0.304000	0.304000	0.292766	
1000	0.335000	0.983538	1000	0.335000	0.335000	0.293705	
1000	0.301000	0.983538	1000	0.301000	0.301000	0.293863	
1000	0.332000	0.983538	1000	0.332000	0.332000	0.294675	
1000	0.327000	0.983538	1000	0.327000	0.327000	0.295348	
1000	0.323000	0.983538	1000	0.323000	0.323000	0.295912	
1000	0.331000	0.983538	1000	0.331000	0.331000	0.296614	
1000	0.314000	0.983538	1000	0.314000	0.314000	0.296955	
1000	0.307000	0.983538	1000	0.307000	0.307000	0.297148	
1000	0.287000	0.983538	1000	0.287000	0.287000	0.296957	
1000	0.320000	0.983538	1000	0.320000	0.320000	0.297383	
1000	0.329000	0.983538	1000	0.329000	0.329000	0.297958	
1000	0.329000	0.983538	1000	0.329000	0.329000	0.298513	
1000	0.318000	0.983538	1000	0.318000	0.318000	0.298854	
1000	0.334000	0.983538	1000	0.334000	0.334000	0.299460	
1000	0.328000	0.983538	1000	0.328000	0.328000	0.299944	
1000	0.296000	0.983538	1000	0.296000	0.296000	0.299878	
1000	0.319000	0.983538	1000	0.319000	0.319000	0.300192	
1000	0.321000	0.983538	1000	0.321000	0.321000	0.300527	
1000	0.295000	0.983538	1000	0.295000	0.295000	0.300440	
1000	0.305000	0.983538	1000	0.305000	0.305000	0.300511	
1000	0.321000	0.983538	1000	0.321000	0.321000	0.300826	
1000	0.333000	0.983538	1000	0.333000	0.333000	0.301314	
1000	0.309000	0.983538	1000	0.309000	0.309000	0.301428	
1000	0.295000	0.983538	1000	0.295000	0.295000	0.301334	
1000	0.357000	0.983538	1000	0.357000	0.357000	0.302141	
1000	0.335000	0.983538	1000	0.335000	0.335000	0.302610	
1000	0.316000	0.983538	1000	0.316000	0.316000	0.302799	
1000	0.325000	0.983538	1000	0.325000	0.325000	0.303107	
1000	0.317000	0.983538	1000	0.317000	0.317000	0.303297	
1000	0.324000	0.983538	1000	0.324000	0.324000	0.303577	
1000	0.348000	0.983538	1000	0.348000	0.348000	0.304169	
1000	0.337000	0.983538	1000	0.337000	0.337000	0.304601	
1000	0.316000	0.983538	1000	0.316000	0.316000	0.304749	
1000	0.343000	0.983538	1000	0.343000	0.343000	0.305240	
