"","Language","InventoryID","iso","Latitude","Longitude","Source","Glottocode"
"238","BAMBARA",238,"bam","12.0401","-9.98949","Phoible","bamb1269"
"239","BARASANO",239,"bao","0.30416","-70.1644","Phoible","waim1255"
"240","BARIBA",240,"bba","9.63186","2.99607","Phoible","baat1238"
"241","BATAK",241,"bbc","2.35498","99.1761","Phoible","bata1289"
"242","BATS",242,"bbl","42.1806","45.344","Phoible","bats1242"
"243","BOBO-FING",243,"bbo","12.4182","-4.47538","Phoible","nort2819"
"244","BAI",244,"bca","26.1666","99.7052","Phoible","cent2004"
"245","BARDI",245,"bcj","-16.6274","122.906","Phoible","bard1255"
"246","KOHUMONO",246,"bcs","5.92596","7.96202","Phoible","kohu1244"
"247","SAMA",247,"bdl","-3.68664","122.253","Phoible","indo1317"
"248","BANDJALANG",248,"bdy","-28.3458","152.859","Phoible","band1339"
"249","BEJA",249,"bej","17.2436","36.6666","Phoible","beja1238"
"250","BENGALI",250,"ben","24.0","90.0","Phoible","beng1280"
"251","BEEMBE",251,"beq","-3.95895","14.1","Phoible","beem1239"
"252","BETE",252,"bev","6.69281","-6.63944","Phoible","dalo1238"
"253","BISA",253,"bib","10.4257","-1.67332","Phoible","biss1248"
"254","BAKAIRI",254,"bkq","-14.2628","-54.7034","Phoible","baka1277"
"255","BELLA COOLA",255,"blc","52.3448","-126.689","Phoible","bell1243"
"256","MUINANE",256,"bmr","-0.8652","-72.4249","Phoible","muin1242"
"257","BIROM",257,"bom","9.67037","8.81221","Phoible","bero1242"
"258","BORORO",258,"bor","-16.6029","-55.2004","Phoible","boro1282"
"259","BRAO",259,"brb","14.5994","107.008","Phoible","lave1249"
"260","BRETON",260,"bre","48.2452","-3.78934","Phoible","bret1244"
"261","BRAHUI",261,"brh","28.5347","64.2991","Phoible","brah1256"
"262","BRUU",262,"brv","16.4906","104.754","Phoible","west2397"
"263","BODO",263,"brx","26.7255","89.3332","Phoible","bodo1269"
"264","BURUSHASKI",264,"bsk","36.2161","74.8236","Phoible","buru1296"
"265","BULGARIAN",265,"bul","43.3646","25.047","Phoible","bulg1262"
"266","BURARRA",266,"bvr","-12.3061","134.365","Phoible","bura1267"
"267","BAINING",267,"byx","-4.45258","151.702","Phoible","qaqe1238"
"268","BRIBRI",268,"bzd","9.39794","-83.0539","Phoible","brib1243"
"269","CADDO",269,"cad","35.1826","-98.2634","Phoible","cadd1256"
"270","ASHUSLAY",270,"cag","-22.8557","-61.7606","Phoible","niva1238"
"271","NICOBARESE",271,"caq","9.18853","92.7671","Phoible","carn1240"
"272","CARIB",272,"car","5.83772","-56.8323","Phoible","gali1262"
"273","CAYAPA",273,"cbi","0.71489","-79.0508","Phoible","chac1249"
"274","NYAH KUR",274,"cbn","15.8909","101.515","Phoible","nyah1250"
"275","CACUA",275,"cbv","0.88778","-69.5659","Phoible","cacu1241"
"276","FUZHOU",276,"cdo","26.0","119.5","Phoible","mind1253"
"277","CHAMORRO",277,"cha","14.3307","145.276","Phoible","cham1312"
"278","CHIPEWYAN",278,"chp","58.3637","-110.832","Phoible","chip1261"
"279","HIGHLAND CHINANTEC",279,"chq","17.5621","-96.602","Phoible","quio1240"
"280","CHEROKEE",280,"chr","35.4664","-83.163","Phoible","cher1273"
"281","CHUVASH",281,"chv","55.487","47.163","Phoible","chuv1255"
"282","CHAM",282,"cja","12.4771","104.026","Phoible","west2650"
"283","UPPER CHEHALIS",283,"cjh","46.7981","-123.169","Phoible","uppe1439"
"284","CHUAVE",284,"cjv","-6.17824","145.139","Phoible","chua1250"
"285","CHUKCHI",285,"ckt","68.6436","170.045","Phoible","chuk1273"
"286","MANDARIN",286,"cmn","40.0209","116.228","Phoible","mand1415"
"287","LAI",287,"cnh","22.8735","92.8208","Phoible","haka1240"
"288","CAMPA",288,"cni","-11.9311","-73.9073","Phoible","asha1243"
"289","COFAN",289,"con","0.276675","-77.0643","Phoible","cofa1242"
"290","KONYAGI",290,"cou","12.5421","-13.177","Phoible","wame1240"
"291","HMONG",291,"cqd","22.5638","101.95","Phoible","chua1256"
"292","ISLAND CARIB",292,"crb","14.2906","-61.2395","Phoible","isla1278"
"293","TIDDIM CHIN",293,"ctd","23.6079","93.519","Phoible","tedi1235"
"294","CHATINO",294,"ctp","16.2495","-97.3244","Phoible","west2644"
"295","CUBEO",295,"cub","1.32382","-70.1939","Phoible","cube1242"
"296","CAYUVAVA",296,"cyb","-13.2482","-65.4822","Phoible","cayu1262"
"297","DANGALEAT",297,"daa","12.1517","18.385","Phoible","dang1274"
"298","DAN",298,"daf","7.22812","-8.24535","Phoible","dann1241"
"299","DAGBANI",299,"dag","9.64745","-0.43227","Phoible","dagb1246"
"300","DAJU",300,"daj","12.2598","25.3127","Phoible","darf1239"
"301","DAHALO",301,"dal","-2.1843","40.37","Phoible","daha1245"
"302","DAFLA",302,"dap","27.3708","93.1284","Phoible","nisi1239"
"303","DYIRBAL",303,"dbl","-17.4516","145.544","Phoible","dyir1250"
"304","GERMAN",304,"deu","48.649","12.4676","Phoible","stan1295"
"305","DIYARI",305,"dif","-28.1667","138.0","Phoible","dier1241"
"306","DIEGUENO",306,"dih","32.5153","-116.609","Phoible","kumi1248"
"307","DINKA",307,"dip","9.27995","31.8392","Phoible","nort2815"
"308","DANI",308,"dni","-4.25684","138.992","Phoible","lowe1415"
"309","KAM",309,"doc","26.9944","109.204","Phoible","nort2735"
"310","DOAYO",310,"dow","8.68604","13.0768","Phoible","doya1240"
"311","RUKAI",311,"dru","22.7738","120.844","Phoible","ruka1240"
"312","DAGUR",312,"dta","48.0","124.0","Phoible","daur1238"
"313","DOGON",313,"dts","14.4075","-3.10006","Phoible","toro1252"
"314","YOLNGU",314,"duj","-12.7825","136.008","Phoible","dhuw1249"
"315","DIOLA",315,"dyo","12.7575","-15.7355","Phoible","jola1263"
"316","EFIK",316,"efi","4.89379","8.38121","Phoible","efik1245"
"317","EKARI",317,"ekg","-3.88974","136.018","Phoible","ekar1243"
"318","GREEK",318,"ell","42.3224","24.8699","Phoible","mode1248"
"319","YUPIK",319,"ess","63.4308","-170.272","Phoible","cent2128"
"320","EJAGHAM",320,"etu","5.54442","8.90959","Phoible","ejag1239"
"321","BASQUE",321,"eus","43.2787","-1.31622","Phoible","basq1248"
"322","EVEN",322,"eve","70.6687","130.914","Phoible","even1260"
"323","EWE",323,"ewe","6.46061","0.814975","Phoible","ewee1241"
"324","EWONDO",324,"ewo","11.9365","4.21141","Phoible","ewon1239"
"325","EYAK",325,"eya","60.4232","-144.762","Phoible","eyak1241"
