"","Language","InventoryID","iso","Latitude","Longitude","Source","Glottocode"
"382","TOL",382,"jic","14.6686","-87.0372","Phoible","toll1241"
"383","JIVARO",383,"jiv","-3.45136","-78.1892","Phoible","shua1257"
"384","JAPANESE",384,"jpn","35.0","135.0","Phoible","nucl1643"
"385","JAQARU",385,"jqr","-12.8823","-75.8958","Phoible","jaqa1244"
"386","JAPRERIA",386,"jru","10.5523","-72.7101","Phoible","japr1238"
"387","JINGPHO",387,"kac","25.4634","97.3278","Phoible","kach1280"
"388","INUIT",388,"kal","69.3761","-52.864","Phoible","kala1399"
"389","KASHMIRI",389,"kas","34.1668","74.3305","Phoible","kash1277"
"390","GEORGIAN",390,"kat","39.3705","45.8066","Phoible","nucl1302"
"391","KABARDIAN",391,"kbd","43.5082","43.3918","Phoible","kaba1278"
"392","CAMSA",392,"kbh","1.14537","-76.8931","Phoible","cams1241"
"393","KOIARI",393,"kbk","-9.51218","147.437","Phoible","gras1249"
"394","KEFA",394,"kbr","7.34022","36.1718","Phoible","kafa1242"
"395","DERA",395,"kbv","-3.52309","140.947","Phoible","dera1245"
"396","KHANTY",396,"kca","62.4308","66.1218","Phoible","khan1273"
"397","K'EKCHI",397,"kek","15.3788","-89.2452","Phoible","kekc1242"
"398","KERA",398,"ker","9.88165","15.1419","Phoible","kera1255"
"399","KET",399,"ket","63.7551","87.5466","Phoible","kett1243"
"400","KOTA",400,"kfe","11.4978","76.9387","Phoible","kota1263"
"401","KOYA",401,"kff","17.6772","81.2096","Phoible","koya1251"
"402","KAINGANG",402,"kgp","-27.7671","-52.5394","Phoible","kain1272"
"403","KHASI",403,"kha","24.977","91.9998","Phoible","khas1269"
"404","LUE",404,"khb","21.0321","101.282","Phoible","luuu1242"
"405","KHALKHA",405,"khk","48.324","106.289","Phoible","halh1238"
"406","KALIAI",406,"khl","-5.55033","149.148","Phoible","lusi1240"
"407","KHMER",407,"khm","12.0515","105.015","Phoible","cent1989"
"408","KHARIA",408,"khr","22.3571","84.3922","Phoible","khar1287"
"409","KIOWA",409,"kio","34.9403","-98.9042","Phoible","kiow1266"
"410","KIRGHIZ",410,"kir","42.0","74.0","Phoible","kirg1245"
"411","SOUTHERN KIWAI",411,"kjd","-8.64889","143.244","Phoible","sout2949"
"412","KHMU?",412,"kjg","20.2463","101.671","Phoible","khmu1256"
"413","ACOMA",413,"kjq","34.9733","-107.517","Phoible","west2632"
"414","KEWA",414,"kjs","-6.32989","143.931","Phoible","east2516"
"415","TEKE",415,"kkw","-2.27122","14.4407","Phoible","teke1280"
"416","KLAMATH",416,"kla","42.5861","-121.704","Phoible","klam1254"
"417","KLAO",417,"klu","6.87233","-10.9214","Phoible","klao1243"
"418","KWOMA",418,"kmo","-4.08721","142.664","Phoible","kwom1262"
"419","KURDISH",419,"kmr","37.0","43.0","Phoible","nort2641"
"420","KANAKURU",420,"kna","10.072","12.0256","Phoible","dera1248"
"421","KANURI",421,"knc","11.8863","16.3918","Phoible","cent2050"
"422","KONKANI",422,"knn","19.2414","73.9166","Phoible","konk1267"
"423","KOREAN",423,"kor","37.5","128.0","Phoible","kore1280"
"424","KPAN",424,"kpk","7.58343","10.1642","Phoible","kpan1246"
"425","SRE",425,"kpm","11.6444","108.057","Phoible","koho1244"
"426","KOMI",426,"kpv","64.0527","54.946","Phoible","komi1268"
"427","KORYAK",427,"kpy","63.8977","166.695","Phoible","kory1246"
"428","SEBEI",428,"kpz","1.33197","34.5991","Phoible","kups1238"
"429","KURUKH",429,"kru","24.4644","86.4657","Phoible","kuru1302"
"430","KAREN",430,"ksw","17.9872","97.7126","Phoible","sgaw1245"
"431","KALKATUNGU",431,"ktg","-21.0","139.5","Phoible","kalk1246"
"432","!XU",432,"ktz","-19.688","20.7673","Phoible","juho1239"
"433","KUNAMA",433,"kun","14.5879","37.5292","Phoible","kuna1268"
"434","KUNIMAIPA",434,"kup","-8.09371","146.908","Phoible","kuni1267"
"435","CUNA",435,"kvn","7.92993","-77.1664","Phoible","bord1248"
"436","KWAIO",436,"kwd","-8.93744","160.965","Phoible","kwai1243"
"437","KWAKW'ALA",437,"kwk","50.9269","-127.308","Phoible","kwak1269"
"438","KAROK",438,"kyh","41.8228","-123.315","Phoible","karo1304"
"439","LAKKIA",439,"lbc","24.1169","110.106","Phoible","lakk1238"
"440","LAK",440,"lbe","42.1328","47.0809","Phoible","lakk1252"
"441","LELEMI",441,"lef","7.34549","0.50746","Phoible","lele1264"
"442","LUGBARA",442,"lgg","3.02245","30.8642","Phoible","lugb1240"
"443","LAHU",443,"lhu","21.2701","100.214","Phoible","lahu1253"
"444","LITHUANIAN",444,"lit","55.1429","23.9601","Phoible","lith1251"
"445","DAKOTA",445,"lkt","46.3699","-103.95","Phoible","lako1247"
"446","LAME",446,"lme","9.16111","14.441","Phoible","peve1243"
"447","LUISENO",447,"lui","33.3184","-116.939","Phoible","luis1253"
"448","LUO",448,"luo","-0.93296","34.4896","Phoible","luok1236"
"449","LUSHOOTSEED",449,"lut","48.42","-122.529","Phoible","lush1252"
"450","MAZATEC",450,"maq","18.0541","-96.6659","Phoible","chiq1250"
"451","MAASAI",451,"mas","-3.1419","36.4573","Phoible","masa1300"
"452","MAZAHUA",452,"maz","19.7357","-100.018","Phoible","cent2144"
"453","MAXAKALI",453,"mbl","-16.9402","-40.7891","Phoible","maxa1247"
"454","MAMBILA",454,"mcu","6.43829","11.4195","Phoible","came1252"
"455","MBUM",455,"mdd","7.5789","14.2722","Phoible","mbum1254"
"456","MABA",456,"mde","12.8915","20.8889","Phoible","maba1277"
"457","DIZI",457,"mdx","6.1405","35.5763","Phoible","dizi1235"
"458","MBA-NE",458,"mfc","1.06885","25.143","Phoible","mbaa1245"
"459","MOGHOL",459,"mhj","34.2504","62.2802","Phoible","mogh1245"
"460","MARI",460,"mhr","55.8307","48.405","Phoible","east2328"
"461","MIXTEC",461,"mig","17.0777","-97.5432","Phoible","sanm1295"
"462","MONGUOR",462,"mjg","36.8177","102.117","Phoible","tuuu1240"
"463","MANCHU",463,"mnc","47.3122","126.557","Phoible","manc1252"
"464","MOR",464,"moq","-2.85747","132.845","Phoible","morb1239"
"465","MORO",465,"mor","10.9194","30.2138","Phoible","moro1285"
"466","MALAKMALAK",466,"mpb","-13.2973","130.615","Phoible","mull1237"
"467","MAUNG",467,"mph","-11.8393","133.185","Phoible","maun1240"
"468","DADIBI",468,"mps","-6.65765","144.511","Phoible","dadi1250"
"469","WEST MAKIAN",469,"mqs","0.45332","127.63","Phoible","west2600"
"470","MARGI",470,"mrt","10.8385","12.9952","Phoible","marg1265"
"471","MARANAO",471,"mrw","7.79414","124.175","Phoible","mara1404"
"472","MIXE",472,"mto","17.2157","-96.0179","Phoible","toto1305"
"473","MURSI",473,"mur","6.69756","33.988","Phoible","murl1244"
"474","MURINHPATHA",474,"mwf","-14.7485","129.702","Phoible","murr1258"
"475","KALA LAGAW YA",475,"mwp","-10.6748","142.196","Phoible","kala1377"
"476","BURMESE",476,"mya","20.7926","93.9665","Phoible","nucl1310"
"477","PIRAHA",477,"myp","-6.77713","-61.8167","Phoible","pira1253"
"478","MUMUYE",478,"mzm","8.90347","11.7155","Phoible","nucl1240"
"479","MOVIMA",479,"mzp","-13.8115","-65.6348","Phoible","movi1243"
"480","SOUTHERN NAMBIQUARA",480,"nab","-14.3707","-59.5187","Phoible","sout2994"
"481","XIAMEN",481,"nan","24.5","118.17","Phoible","minn1241"
"482","NAMA",482,"naq","-25.0747","17.9767","Phoible","nama1264"
"483","NASIOI",483,"nas","-6.46022","155.632","Phoible","naas1242"
"484","NAVAJO",484,"nav","36.2106","-110.082","Phoible","nava1243"
"485","NAXI",485,"nbf","27.4599","100.182","Phoible","naxi1245"
"486","NAHUATL",486,"ncj","20.1356","-97.9814","Phoible","nort2957"
"487","NDUT",487,"ndv","14.925","-16.9811","Phoible","ndut1239"
"488","NEPALI",488,"nep","27.5947","87.6201","Phoible","nepa1252"
"489","NEWARI",489,"new","27.2614","84.9577","Phoible","newa1246"
"490","NEZ PERCE",490,"nez","46.3073","-116.408","Phoible","nezp1238"
"491","NGIZIM",491,"ngi","12.1051","11.0178","Phoible","ngiz1242"
"492","NONI",492,"nhu","6.37256","10.5707","Phoible","noon1243"
"493","LUA",493,"nie","9.70362","17.8135","Phoible","niel1243"
"494","NGANASAN",494,"nio","73.1354","86.2106","Phoible","ngan1291"
"495","NIMBORAN",495,"nir","-2.5803","140.179","Phoible","nucl1633"
"496","NIVKH",496,"niv","52.59","140.681","Phoible","gily1242"
"497","AO",497,"njo","26.3241","94.3824","Phoible","aona1235"
"498","MAIDU",498,"nmu","40.4102","-120.645","Phoible","nort2952"
"499","NORWEGIAN",499,"nob","61.112","8.886","Phoible","norw1259"
"500","TSESHAHT",500,"noo","49.6212","-126.086","Phoible","noot1239"
"501","NERA",501,"nrb","15.3251","37.499","Phoible","nara1262"
"502","LUNGCHOW",502,"nut","20.8965","104.286","Phoible","nung1283"
"503","NUNGGUBUYU",503,"nuy","-14.2623","135.753","Phoible","nung1290"
"504","NYIMANG",504,"nyi","12.0993","29.4332","Phoible","amas1236"
"505","NYANGI",505,"nyp","3.4997","33.7365","Phoible","nyan1313"
"506","OCAINA",506,"oca","-2.159","-72.1422","Phoible","ocai1244"
"507","OGBIA",507,"ogb","4.75352","6.34034","Phoible","ogbi1239"
"508","OJIBWA",508,"ojg","45.0112","-79.7503","Phoible","east2542"
"509","PAPAGO",509,"ood","31.7973","-111.995","Phoible","toho1245"
"510","ORMURI",510,"oru","32.6819","69.3444","Phoible","ormu1247"
"511","PACOH",511,"pac","16.3353","107.094","Phoible","paco1243"
"512","PAYA",512,"pay","15.8033","-85.558","Phoible","pech1241"
"513","PAEZ",513,"pbb","2.61516","-76.3125","Phoible","paez1247"
"514","PANARE",514,"pbh","6.95035","-65.8483","Phoible","enap1235"
"515","YAY",515,"pcc","24.8484","106.187","Phoible","bouy1240"
"516","FARSI",516,"pes","28.6593","55.1586","Phoible","west2369"
"517","MALAGASY",517,"plt","-19.5907","47.1211","Phoible","plat1254"
"518","POMO",518,"pom","38.9354","-122.599","Phoible","sout2982"
