"","node","Longitude","Latitude","specH.mean","Node.Age","Tones","specH.mean.sim.gam","Tones.sd","ancTones","ancTones.sd","mH","ancAge","ancnode","deltaAge","neighbourmean","phymean","neighbourmean_int","phymean_int","phyrate_abs","phyrate","phyrate_disc","phyrate_disc_sd","disc_neighbourmeans_int_sd","disc_neighbourmeans_int","disc_neighbourmed_int","disc_phymed_int","disc_phymeans_int","disc_phymeans_int_sd"
"1",1,10.2,5.3,0.0174789068939394,0,37,0.016609257058975,0,1.18500133078144,1.12074929540154,1.33038259671916,595.3916027,217,595.39160274649,38.8743225275441,37.5173371484349,41.765557865254,36.8341976138598,78.6519706404819,78.6519706404819,117.510001115623,172.908374245795,2.19515065575921,41.9148936170213,43,36.5,35,4.08248290463863
"2",2,10.38,5.39,0.0174789068939394,0,38,0.0165206843361937,0,0.570591207910266,0.929822502287258,1.33120850889233,353.8503411,218,353.85034114232,38.84314753172,37.07637253223,41.709810503812,36.2115104782324,81.8413855526193,81.8413855526193,117.510001115623,172.908374245795,2.23834219081494,41.8936170212766,43,35.5,34.25,3.77491721763537
"3",3,10.42,5.53,0.0174789068939394,0,37,0.0164350323819229,0,0.570591207910266,0.929822502287258,1.33120850889233,353.8503411,218,353.85034114232,38.8745276153397,37.6173791879686,41.7146503335558,36.752517133971,82.3745655782313,82.3745655782313,117.510001115623,172.908374245795,2.21337611273482,41.8913043478261,42.5,35.5,34.5,4.04145188432738
"4",4,10.63,6.24,0.0163006410402098,0,38,0.0159741685647389,0,0.129028756856794,0.824426168315808,1.27151153483737,260.2506933,215,260.250693300195,38.844644788401,38.3945406983447,41.5740093214958,38.1391575522026,71.2764690105622,71.2764690105622,117.334531340729,172.712617854271,2.30863806716396,41.8636363636364,43,38,36.3333333333333,4.72581562625261
"5",5,10.71,6.18,0.0163006410402098,0,38,0.0159973954145225,0,0.129028756856794,0.824426168315808,1.27151153483737,260.2506933,215,260.250693300195,38.8510759307602,38.3945406983447,41.5767451780958,38.1391575522026,71.2764690105622,71.2764690105622,117.334531340729,172.712617854271,2.30863806716396,41.8636363636364,43,38,36.3333333333333,4.72581562625261
"6",6,10.008,6.34,0.0174789068939394,0,40,0.0160391186702762,0,0.423295753985103,1.37559293052446,1.27358895645409,860.7879071,214,860.787907143915,38.7515857853462,37.9217787187405,41.5462463264368,37.6666832174457,66.8505895526286,66.8505895526286,117.334531340729,172.712617854271,2.42924257994032,41.7317073170732,42,38,37,1.73205080756888
"7",7,9.72,5.73,0.0174789068939394,0,37,0.0164820167861883,0,1.74737758821485,1.54665815864329,1.30294288167306,1299.10829,216,1299.10828965362,38.8729619848619,37.5476160284994,41.7555687737806,36.8270758935432,60.6822158706078,60.6822158706078,117.510001115623,172.908374245795,2.23199869664348,41.8666666666667,42,0,0,0
"8",8,9.01,6.22,0.0174789068939394,0,45,0.016365855056856,0,1.88000914388882,1.40250111750129,1.25500805785398,5314.755967,212,5314.75596737716,38.5806014930819,39.8366322678582,41.4897862375294,36.8553029020152,60.8052768956693,60.8052768956693,116.546481642816,171.476448519677,2.43650819816599,41.5641025641026,42,0,0,0
"9",9,9.29,5.1,0.0174789068939394,0,43,0.0169449839376618,0,5.78705308701695,0.818036527248195,1.40065395485421,287.0475143,247,287.047514298753,38.7787351800517,43.1749238842553,41.7106516310406,37.6773381260346,94.9870514109881,94.9870514109881,118.404603498477,176.851875069735,2.33938608885478,41.7333333333333,42,39,38.4,5.45893762558247
"10",10,9.2,4.78,0.0180563223115773,0,43,0.0171326163935493,0,5.78705308701695,0.818036527248195,1.40065395485421,287.0475143,247,287.047514298753,38.766052377044,43.1749238842553,41.7718340062588,37.6773381260346,94.9870514109881,94.9870514109881,118.404603498477,176.851875069735,2.33938608885478,41.7333333333333,42,39,38.4,5.45893762558247
